page,proposition,cited_case,retrieved_case,supporting_language,assessment,cl_url,cl_status,diagnostics,opinion_file
19,"This Court reviews the grant of summary judgment de novo, affirming only if there is no genuine dispute as to any material fact and the movant is entitled to judgment as a matter of law.","United States v. Regenerative Scis., LLC, 741 F.3d 1314, 1318 (D.C. Cir. 2014)","United States v. Regenerative Sciences, LLC",,,https://www.courtlistener.com/opinion/2652122/united-states-v-regenerative-sciences-llc/,VERIFIED,,opinions/United_States_v_Regenerative_Sciences_LLC.html
19,This Court reviews the district court's entry of a permanent injunction for abuse of discretion and its factual findings for clear error.,"United States v. Regenerative Scis., LLC, 741 F.3d 1314, 1318 (D.C. Cir. 2014)","United States v. Regenerative Sciences, LLC",,,https://www.courtlistener.com/opinion/2652122/united-states-v-regenerative-sciences-llc/,VERIFIED,,opinions/United_States_v_Regenerative_Sciences_LLC.html
21,"Outside, non-expert bodies cannot review Executive Branch judgments about whether specific individuals pose a risk to national security.","Dep't of Navy v. Egan, 484 U.S. 518 (1988)",Department of the Navy v. Egan,,,https://www.courtlistener.com/opinion/111990/department-of-the-navy-v-egan/,VERIFIED,,opinions/Department_of_the_Navy_v_Egan.html
21,The duty to control access to classified information rests with the Executive Branch agency responsible for the information and derives from the President's authority under Article II of the Constitution.,"Dep't of Navy v. Egan, 484 U.S. 518, 527-29 (1988)",Department of the Navy v. Egan,,,https://www.courtlistener.com/opinion/111990/department-of-the-navy-v-egan/,VERIFIED,,opinions/Department_of_the_Navy_v_Egan.html
21,"Security clearance determinations are an inexact science, involving the exercise of predictive judgment about security risks that must be made by those with the necessary expertise in protecting classified information, and such judgments are committed to the broad discretion of the agency responsible.","Dep't of Navy v. Egan, 484 U.S. 518, 529 (1988)",Department of the Navy v. Egan,,,https://www.courtlistener.com/opinion/111990/department-of-the-navy-v-egan/,VERIFIED,,opinions/Department_of_the_Navy_v_Egan.html
21,It is not reasonably possible for an outside nonexpert body to review the substance of such a judgment and to decide whether the agency should have been able to make the necessary affirmative prediction with confidence.,"Dep't of Navy v. Egan, 484 U.S. 518, 529 (1988)",Department of the Navy v. Egan,,,https://www.courtlistener.com/opinion/111990/department-of-the-navy-v-egan/,VERIFIED,,opinions/Department_of_the_Navy_v_Egan.html
22,"This Court has repeatedly held that federal courts may not adjudicate claims that would require a factfinder to second-guess the merits of an Executive Branch agency's denial of a security clearance or similar decisions, whether styled as statutory, constitutional, or process-based.","Dep't of Navy v. Egan, 484 U.S. 518 (1988)",Department of the Navy v. Egan,,,https://www.courtlistener.com/opinion/111990/department-of-the-navy-v-egan/,VERIFIED,,opinions/Department_of_the_Navy_v_Egan.html
22,Egan precluded Title VII claims challenging a decision by the Immigration and Naturalization Service refusing to waive background checks for foreign nationals seeking federal employment because the waiver denials were tantamount to clearance denials.,"Ryan v. Reno, 168 F.3d 520, 524 (D.C. Cir. 1999)","Ryan, John Clement v. Reno, Janet",,,https://www.courtlistener.com/opinion/184768/ryan-john-clement-v-reno-janet/,VERIFIED,,opinions/Ryan_John_Clement_v_Reno_Janet.html
22,"Employment actions based on denial of security clearance are not subject to judicial review, including under Title VII.","Bennett v. Chertoff, 425 F.3d 999, 1001 (D.C. Cir. 2005)","Bennett, Patsy F. v. Chertoff, Michael",,,https://www.courtlistener.com/opinion/186535/bennett-patsy-f-v-chertoff-michael/,VERIFIED,,opinions/Bennett_Patsy_F_v_Chertoff_Michael.html
22-23,"Egan precludes review of not only the formal denial or revocation of a security clearance, but also any related claim that would require a trier of fact to consider the merits of a security determination.","Bennett v. Chertoff, 425 F.3d 999, 1000 (D.C. Cir. 2005)","Bennett, Patsy F. v. Chertoff, Michael",,,https://www.courtlistener.com/opinion/186535/bennett-patsy-f-v-chertoff-michael/,VERIFIED,,opinions/Bennett_Patsy_F_v_Chertoff_Michael.html
23,Actions based upon denial of security clearance are committed to agency discretion by law.,"Oryszak v. Sullivan, 576 F.3d 522, 526 (D.C. Cir. 2009)",Johnson v. Robinson,,,https://www.courtlistener.com/opinion/1188696/johnson-v-robinson/,POSSIBLE_MATCH,"Name mismatch: citation exists at this reporter location but belongs to ""Johnson v. Robinson""",opinions/Johnson_v_Robinson.html
23,Egan precludes judicial review of constitutional claims challenging the denial or revocation of a security clearance because the Constitution commits that decision to the Executive.,"Lee v. Garland, 120 F.4th 880, 891 (D.C. Cir. 2024)","An opinion was released in case 20-5221, Jason Lee v. Merrick Garland",,,https://www.courtlistener.com/opinion/10162300/an-opinion-was-released-in-case-20-5221-jason-lee-v-merrick-garland/,POSSIBLE_MATCH,"Reporter citation 120 F.4th 880 could not be confirmed (CourtListener has no reporter citations on file for this case), but we identified a possible match.",opinions/An_opinion_was_released_in_case_20-5221_Jason_Lee_v_Merrick_Garland.html
23,The Court had previously reserved the question whether Egan bars review of constitutional claims in several prior cases.,"Ryan v. Reno, 168 F.3d 520, 524 (D.C. Cir. 1999)","Ryan, John Clement v. Reno, Janet",,,https://www.courtlistener.com/opinion/184768/ryan-john-clement-v-reno-janet/,VERIFIED,,opinions/Ryan_John_Clement_v_Reno_Janet.html
