"id","source","proposition","gold_name","gold_cite","citing_court","citing_year","cited_year","model_response","elapsed_s","cost_usd","input_tokens","output_tokens","stderr"
"lepard-1490680_42","lepard","The warrant authorized entrance to “J. R. Simplot Company” on “Highway 19”, and authorized inspection with respect to all “pertinent” facilities to determine whether Simplot was “complying with the... Act.","Marshall v. Barlow’s, Inc.","Marshall v. Barlow’s, Inc., 436 U.S. 307 (1978)","United States Court of Appeals for the Ninth Circuit","1981","1978","UNKNOWN","19.1","0.05158905","3","990",""
"lepard-11598083_14","lepard","Kraemer for services actually performed by nurse Laurel, yet they still attempt to argue that their unspecific allegations re garding the Wound Healing Clinic should stand. The Court will address plaintiffs’ inability to make specific allegations in Section D. below. Plaintiff Schuhardt’s Retaliation Claim The FCA prohibits employment discrimination “","Eberhardt v. Integrated Design & Construction, Inc.","Eberhardt v. Integrated Design & Construction, Inc., 167 F.3d 861 (1999)","United States District Court for the Eastern District of Missouri","2003","1999","UNKNOWN","23.6","0.052732799999999996","3","1059",""
"lepard-11644379_27","lepard","1064, 110 S.Ct. 884, 107 L.Ed.2d 1012 (1990). If, however, substantial evidence is presented opposed to the motion, and this evidence is of such quality and weight that reasonable and fair-minded persons in the exercise of impartial judgment might reach different conclusions, the motion must be denied. Nevertheless, a jury question does not exist because of the presence of a “mere scintilla of evidence”; rather, “","Carter v. City of Miami","Carter v. City of Miami, 870 F.2d 578 (1989)","United States Court of Appeals for the Eleventh Circuit","1995","1989","Boeing Co. v. Shipman, 411 F.2d 365 (5th Cir. 1969)","31.0","0.06360779999999999","3","1777",""
"lepard-11735156_8","lepard","However, the absence of federal preemption does not in itself validate state statutes regulating the field. In the case of Hines v. Davidowitz, the Supreme Court was faced with issues similar to those raised by the case at bar. In attempting to determine whether the federal statute had preempted the state statute, the Court stated: “There is not — and from the very nature of the problem there cannot be— any rigid formula or rule which can be used as a universal pattern to determine the meaning and purpose of every act of Congress.","Perez. v. Campbell","Perez. v. Campbell, 402 U.S. 637 (1971)","United States District Court for the Southern District of Florida","1972","1971","Hines v. Davidowitz, 312 U.S. 52 (U.S. 1941)","8.7","0.04085655","3","258",""
"lepard-857722_31","lepard","The subjective component “requires a showing that the defendant ‘had the necessary level of culpability, shown by actions characterized by “wantonness” in light of the particular circumstances surrounding the challenged conduct.’ ” In excessive force cases, “wanton” conduct involves force that is applied “","Blyden v. Mancusi","Blyden v. Mancusi, 186 F.3d 252 (1999)","United States District Court for the Southern District of New York","2005","1999","Wilson v. Seiter, 501 U.S. 294 (1991)","16.5","0.0499428","3","877",""
"lepard-1490680_60","lepard","437 (D.C., D.ID 1977). The Supreme Court, in affirming the lower court decision, held that the Fourth Amendment prohibits nonconsensual inspections in the work areas of business for the purpose of safeguarding employees against hazards; however, probable cause, in the criminal law sense, is not required as a basis for the issuance of a warrant. The probable cause which justifies the issuance of a warrant for the purpose of conducting an administrative search may be based not only on evidence of an existing violation of a statute or regulation, but may also be found on a showing that “reasonable legislative or administrative standards for conducting an... inspection are satisfied with respect to a particular [establishment].”","Marshall v. Barlow’s, Inc.","Marshall v. Barlow’s, Inc., 436 U.S. 307 (1978)","United States District Court for the District of North Dakota","1982","1978","Marshall v. Barlow's, Inc., 436 U.S. 307 (U.S. 1978)","7.1","0.03761655","3","32",""
"lepard-11652681_0","lepard","” Summary judgment will not lie if the evidence is such that a reasonable jury could return a verdict for the nonmoving party. In order for the moving party to prevail, it must demonstrate to the court that “","Florida Power & Light Co. v. Allis Chalmers Corp.","Florida Power & Light Co. v. Allis Chalmers Corp., 893 F.2d 1313 (1990)","United States District Court for the District of Nebraska","1994","1990","Anderson v. Liberty Lobby, Inc., 477 U.S. 242 (U.S. 1986)","6.1","0.039469050000000006","3","183",""
"lepard-219616_28","lepard","at 17. Cf. Walczak, 142 F.3d at 129 (“Deference is particularly appropriate when... the state hearing officer’s] review has been thorough and careful.","Walczak v. Florida Union Free School District","Walczak v. Florida Union Free School District, 142 F.3d 119 (1998)","United States District Court for the District of Connecticut","2008","1998","Walczak v. Florida Union Free School District, 142 F.3d 119 (2d Cir. 1998)","8.2","0.04213155","3","360",""
"lepard-11714932_2","lepard","However, given “the need to allow some latitude for honest mistakes that are made by officers in the dangerous and difficult process of making arrests and executing-search warrants,” Garrison, 480 U.S. at 87, 107 S.Ct. 1013, we believe that these specific undisputed facts establish as a matter of law that Tou’s “","Hill v. California","Hill v. California, 401 U.S. 797 (1971)","United States Court of Appeals for the Fourth Circuit","2006","1971","Maryland v. Garrison, 480 U.S. 79 (U.S. 1987)","7.5","0.0408678","3","267",""
"lepard-1729737_29","lepard","And the Fourth Circuit, like nearly every other federal circuit, has avoided other potential Suspension Clause challenges to the limitations period by extending the filing deadline for Bilodeau— and other prisoners convicted before AED-PA’s enactment — to April 23, 1997, a full year after AEDPA had already taken effect. See Brown, 150 F.3d at 375. Therefore, since AEDPA still allows a reasonable amount of time for state prisoners to test the legality of their detention, and since Congress and the courts have both fashioned exceptions for those who have legitimate, legally recognized reasons for having missed the one year filing deadline, this Court finds that the time restriction placed on state prisoners does not rise to the level of a Suspension Clause violation. The Supreme Court has also recognized that Congress, not the courts, normally makes “","Felker v. Turpin","Felker v. Turpin, 518 U.S. 651 (1996)","United States District Court for the Eastern District of Virginia","1999","1996","Brown v. Angelone, 150 F.3d 370 (4th Cir. 1998)","3.2","0.03770655","3","31",""
"lepard-11638484_57","lepard","” Accordingly, the jurisdictional inquiry is two-fold: first, the court looks to the law of the forum state— here, New York — to determine whether it may exert personal jurisdiction over the foreign defendant; if so, the court then considers whether subjecting the defendant to personal jurisdiction comports with the requirements of due process. The New York long-arm statute confers personal jurisdiction over a foreign defendant that “","Bank Brussels Lambert v. Fiddler Gonzalez & Rodriguez","Bank Brussels Lambert v. Fiddler Gonzalez & Rodriguez, 171 F.3d 779 (1999)","United States District Court for the Southern District of New York","2010","1999","Chloe v. Queen Bee of Beverly Hills, LLC, 616 F.3d 158 (2d Cir. 2010)","32.4","0.057675300000000006","3","1386",""
"lepard-11723119_72","lepard","It is the intent of this ordinance to provide for such control. Finally, the zoning, size, and height restrictions are themselves constitutional because they are content-neutral “time, place, and manner” restrictions that are “justified without reference to the content of the regulated speech,... serve a significant govern mental interest, and... leave open ample alternative channels for communication of the information.","Metromedia, Inc. v. City of San Diego","Metromedia, Inc. v. City of San Diego, 453 U.S. 490 (1981)","United States Court of Appeals for the Ninth Circuit","2003","1981","Ward v. Rock Against Racism, 491 U.S. 781 (U.S. 1989)","16.6","0.051285300000000006","3","962",""
"lepard-1564344_20","lepard","Under that Act, “when a federal employee is named in a tort suit, the Attorney General or his designee may certify that the employee was ‘acting within the scope of his office or employment at the time of the incident out of which the claim arose.","Gutierrez de Martinez v. Lamagno","Gutierrez de Martinez v. Lamagno, 515 U.S. 417 (1995)","United States District Court for the District of Columbia","2011","1995","Gutierrez de Martinez v. Lamagno, 515 U.S. 417 (U.S. 1995)","13.1","0.043541550000000005","3","452",""
"lepard-327080_29","lepard","Similarly, the main purposes of RCRA are to reduce “the generation of hazardous waste and to ensure the proper treatment, storage, and disposal of that waste which is nonetheless generated, ‘so as to'minimize the present and future threat to human health and the environment.","Meghrig v. KFC Western, Inc.","Meghrig v. KFC Western, Inc., 516 U.S. 479 (1996)","United States District Court for the Eastern District of New York","2003","1996","Meghrig v. KFC Western, Inc., 516 U.S. 479 (1996)","9.1","0.04415655","3","492",""
