page,proposition,cited_case,retrieved_case,supporting_language,assessment,cl_url,cl_status,diagnostics,opinion_file,syllabus
2,"Judicial review under the APA is limited to the administrative record that was before the agency at the time of the challenged decision; ""the focal point for judicial review should be the administrative record already in existence, not some new record made initially in the reviewing court.""","Camp v. Pitts, 411 U.S. 138, 142 (1973)",,"(1) Supports: ""the focal point for judicial review should be the administrative record already in existence, not some new record made initially in the reviewing court."" This exact language appears at page 142 of the opinion.",Green,https://www.courtlistener.com/opinion/108752/camp-v-pitts/,VERIFIED,,opinions/Camp_v_Pitts.html,
2,"Courts must assess agency action based on the materials actually considered by the agency, rejecting de novo review.","Citizens to Preserve Overton Park, Inc. v. Volpe, 401 U.S. 402, 420 (1971)",,"(1) Supports: ""That review is to be based on the full administrative record that was before the Secretary at the time he made his decision."" (2) Supports rejection of de novo review: ""Neither of these standards is, however, applicable."" (discussing de novo review under s 706(2)(F))",Green,https://www.courtlistener.com/opinion/108283/citizens-to-preserve-overton-park-inc-v-volpe/,VERIFIED,,opinions/Citizens_to_Preserve_Overton_Park_Inc_v_Volpe.html,
2,"APA review ""is limited to the administrative record that was before the agency at the time of its decision.""","Ohio Valley Envtl. Coal. v. Aracoma Coal Co., 556 F.3d 177, 201 (4th Cir. 2009)",,"(1) Partially supports but overstates: The opinion states ""review of agency action is typically limited to the administrative record that was available to the agency at the time of its decision"" (citing Camp v. Pitts), but this is stated as a general rule that the opinion then distinguishes -- the very next clause says ""a NEPA suit is inherently a challenge to the adequacy of the administrative record"" and ""courts generally have been willing to look outside the record."" The quoted principle appears as a foil, not as the holding.",Yellow,https://www.courtlistener.com/opinion/1027825/ohio-valley-environmental-coalition-v-aracoma-coal-co/,VERIFIED,,,
3,Agency actions are entitled to a presumption of regularity.,"Citizens to Preserve Overton Park, Inc. v. Volpe, 401 U.S. 402, 415 (1971)",,"(1) Supports: ""Certainly, the Secretary's decision is entitled to a presumption of regularity.""",Green,https://www.courtlistener.com/opinion/108283/citizens-to-preserve-overton-park-inc-v-volpe/,VERIFIED,,opinions/Citizens_to_Preserve_Overton_Park_Inc_v_Volpe.html,
3,Efforts to rely on extra-record materials should be rejected where plaintiffs fail to overcome the presumption that the record was complete.,"Ohio Valley Envtl. Coal. v. Aracoma Coal Co., 556 F.3d 177, 201 (4th Cir. 2009)",,"(1) Does not support: The opinion never discusses a ""presumption that the record was complete"" or the rejection of extra-record materials for failure to overcome such a presumption. The discussion at page 201 actually notes that ""in the NEPA context, courts generally have been willing to look outside the record."" The opinion's concern is about courts substituting plaintiffs' experts for agency experts, not about record completeness.",Red,https://www.courtlistener.com/opinion/1027825/ohio-valley-environmental-coalition-v-aracoma-coal-co/,VERIFIED,,,
4,"Extra-record inquiry is allowed only upon a ""strong showing"" of bad faith or improper behavior.","Citizens to Preserve Overton Park, Inc. v. Volpe, 401 U.S. 402, 420 (1971)",,"(1) Supports: ""there must be a strong showing of bad faith or improper behavior before such inquiry may be made.""",Green,https://www.courtlistener.com/opinion/108283/citizens-to-preserve-overton-park-inc-v-volpe/,VERIFIED,,opinions/Citizens_to_Preserve_Overton_Park_Inc_v_Volpe.html,
4,Denial of extra-record evidence affirmed where plaintiffs sought to challenge the agency's reasoning rather than the completeness of the record.,"Dow AgroSciences LLC v. National Marine Fisheries Service, 637 F.3d 259, 268-69 (4th Cir. 2011)",,"(1) Does not support: The opinion addresses whether a biological opinion is judicially reviewable under the APA and whether FIFRA provides an adequate alternative remedy. Pages 268-69 discuss jurisdiction and ripeness. The opinion contains no discussion of extra-record evidence, record supplementation, or challenging the agency's reasoning versus the completeness of the record.",Red,https://www.courtlistener.com/opinion/205823/dow-agrosciences-llc-v-national-marine-fisheries-service/,VERIFIED,,opinions/Dow_Agrosciences_LLC_v_National_Marine_Fisheries_Service.html,
4,Extra-record evidence is not permitted merely because plaintiffs believe additional materials would be helpful.,"Sierra Club v. U.S. Department of the Interior, 899 F.3d 260, 295-96 (4th Cir. 2018)",,"(1) Does not support: The opinion addresses FWS's Incidental Take Statement under the Endangered Species Act and NPS's right-of-way permit for the Atlantic Coast Pipeline. It contains no discussion of extra-record evidence, administrative record supplementation, or when additional materials outside the record may be considered. The proposition is entirely absent from this opinion.",Red,https://www.courtlistener.com/opinion/4524080/sierra-club-v-us-dept-of-the-interior/,VERIFIED,,,
5,"The court rejected claims that the record must be incomplete where plaintiffs offered no evidence that specific materials were omitted; ""[m]ere allegations"" or assumptions about what the agency ""must have considered"" do not rebut the presumption of completeness.","Ohio Valley Envtl. Coal. v. Aracoma Coal Co., 556 F.3d 177, 201 (4th Cir. 2009)",,"(1) Does not support: The phrase ""mere allegations"" does not appear anywhere in the opinion. The opinion never discusses whether plaintiffs offered evidence that specific materials were omitted from the record, nor does it address any ""presumption of completeness."" The page 201 discussion is about extra-record expert testimony in NEPA cases -- an entirely different issue.",Red,https://www.courtlistener.com/opinion/1027825/ohio-valley-environmental-coalition-v-aracoma-coal-co/,VERIFIED,,,
6,"Speculation that additional documents ""may exist"" does not justify supplementation.","Ohio Valley Envtl. Coal. v. Aracoma Coal Co., 556 F.3d 177, 201 (4th Cir. 2009)",,"(1) Does not support: The opinion never uses the word ""speculation"" or the phrase ""may exist,"" and does not discuss supplementation of the administrative record. The page 201 discussion is about extra-record expert testimony in NEPA cases, concluding that such testimony ""does not, however, give courts license to simply substitute the judgment of plaintiffs experts for that of the agency's experts."" This is about deference to agency methodology, not record supplementation.",Red,https://www.courtlistener.com/opinion/1027825/ohio-valley-environmental-coalition-v-aracoma-coal-co/,VERIFIED,,,
