page,proposition,cited_case,retrieved_case,supporting_language,assessment,cl_url,cl_status,diagnostics,user_action,opinion_file
3,Ohio courts have repeatedly held there is no stand-alone civil cause of action for extortion.,"Simpson v. Voiture Nationale La Societe des Quarante Hommes et Huit Chevaux, 2021-Ohio-2131, ¶¶ 13-15 (2d Dist.)",Simpson v. Voiture Nationale La Societe Des Quarante Hommes (2021-06-25) - Ready,"(1) Supports: ""Ohio law does not recognize a civil action for extortion."" (Simpson citing Angelini and Heskett; trial court dismissal affirmed)","Green - Case directly supports the proposition. Simpson affirmed dismissal of civil extortion claims, citing this exact principle.",https://www.courtlistener.com/opinion/4894979/simpson-v-voiture-nationale-la-societe-des-quarante-hommes/,VERIFIED,,,briefs/kettering-v-collier/opinions/simpson-v-voiture-nationale-la-societe-des-quarante-hommes-e.txt
3,Ohio courts have repeatedly held there is no stand-alone civil cause of action for extortion.,"First Fed. Bank of Ohio v. Angelini, 2012-Ohio-2136, ¶ 6 (3d Dist.)",First Fed. Bank of Ohio v. Angelini (2012-05-14) - Ready,"(1) Supports: ""Simply put, Ohio law does not recognize a civil action for extortion. Thus, the counterclaim was based upon a legal nullity."" (para 14)",Green - Case directly and explicitly supports the proposition at the cited paragraph.,https://www.courtlistener.com/opinion/2696528/first-fed-bank-of-ohio-v-angelini/,VERIFIED,,,briefs/kettering-v-collier/opinions/first-fed-bank-of-ohio-v-angelini.txt
3,Ohio courts have repeatedly held there is no stand-alone civil cause of action for extortion.,"Heskett v. Van Horn Title Agency, Inc., 2006-Ohio-6900, ¶ 26 (10th Dist.)","Heskett v. Van Horn Title Agency, Unpublished Decision (12-26-2006) (2006-12-26) - Ready","(1) Partially supports: ""Neither are we aware of 'coercion' as a cognizable civil cause of action. Cf. R.C. 2905.12 (defining the crime of 'coercion,' a misdemeanor of the second degree)."" (para 26)","Yellow - The case addresses coercion (R.C. 2905.12), not extortion (R.C. 2905.11). The brief cites it for extortion, but the holding is about coercion specifically. Related but not identical.",https://www.courtlistener.com/opinion/3941929/heskett-v-van-horn-title-agency-unpublished-decision-12-26-2006/,VERIFIED,,,briefs/kettering-v-collier/opinions/heskett-v-van-horn-title-agency.txt
3,A complaint must contain sufficient factual matter to state a claim to relief that is plausible on its face.,"Ashcroft v. Iqbal, 556 U.S. 662, 678 (2009)",Ashcroft v. Iqbal (2009-05-18) - Ready,"(1) Supports: ""To survive a motion to dismiss, a complaint must contain sufficient factual matter, accepted as true, to 'state a claim to relief that is plausible on its face.'"" (quoting Twombly, 550 U.S. at 570)",Green - Exact language appears in the opinion at the cited page.,https://www.courtlistener.com/opinion/145875/ashcroft-v-iqbal/,VERIFIED,,,briefs/kettering-v-collier/opinions/ashcroft-v-iqbal.txt
3,A complaint must contain sufficient factual matter to state a claim to relief that is plausible on its face.,"Bell Atl. Corp. v. Twombly, 550 U.S. 544, 570 (2007)",Bell Atlantic Corp. v. Twombly (2007-05-21) - Ready,"(1) Supports: ""[W]e do not require heightened fact pleading of specifics, but only enough facts to state a claim to relief that is plausible on its face."" (at 570)",Green - Exact language appears in the opinion at the cited page.,https://www.courtlistener.com/opinion/145730/bell-atlantic-corp-v-twombly/,VERIFIED,,,briefs/kettering-v-collier/opinions/bell-atl-corp-v-twombly.txt
3,Courts disregard legal conclusions couched as factual allegations.,"Ashcroft v. Iqbal, 556 U.S. at 678 (2009)",Ashcroft v. Iqbal (2009-05-18) - Ready,"(1) Supports: ""Threadbare recitals of the elements of a cause of action, supported by mere conclusory statements, do not suffice."" (2) Supports: ""'[L]abels and conclusions' or 'a formulaic recitation of the elements of a cause of action will not do.'"" (quoting Twombly)",Green - The proposition is a standard paraphrase of Iqbal's holding. The opinion supports this at the cited page.,https://www.courtlistener.com/opinion/145875/ashcroft-v-iqbal/,VERIFIED,,,briefs/kettering-v-collier/opinions/ashcroft-v-iqbal.txt
3,Communications made in or reasonably related to judicial proceedings are absolutely privileged.,"Hecht v. Levin, 66 Ohio St. 3d 458, 460-61, 613 N.E.2d 585 (1993)",Hecht v. Levin (1993-06-23) - Ready,"(1) Supports: ""A statement made in the course of an attorney disciplinary proceeding enjoys an absolute privilege against a civil action based thereon as long as the statement bears some reasonable relation to the proceeding.""",Green - Case directly supports the proposition of absolute privilege for statements in judicial proceedings.,https://www.courtlistener.com/opinion/10680926/hecht-v-levin/,VERIFIED,,,briefs/kettering-v-collier/opinions/hecht-v-levin.txt
3,Communications made in or reasonably related to judicial proceedings are absolutely privileged.,"Surace v. Willer, 25 Ohio St. 3d 229, 232-33, 495 N.E.2d 939 (1986)",Surace v. Wuliger (1986-08-06) - Ready,(1) Supports: Opinion discusses the absolute privilege doctrine for statements in judicial proceedings and its public policy rationale. Court analyzes relevance/pertinence test for privilege.,Green - Case directly supports the absolute privilege doctrine for communications in judicial proceedings.,https://www.courtlistener.com/opinion/6868174/surace-v-wuliger/,VERIFIED,,,briefs/kettering-v-collier/opinions/surace-v-willer.txt
4,A claim of civil extortion requires proof of a wrongful threat -- an unlawful threat unrelated to any valid legal claim. Threat to file false criminal charges constituted extortion.,"State v. Carter, 72 Ohio App.3d 553 (2d Dist. 1991)","Stull v. Combustion Engineering, Inc. (1991-02-19) - Check Name",Case not retrieved -- cannot verify. Citation 72 Ohio App.3d 553 belongs to a different case (Stull v. Combustion Engineering) in CourtListener.,Red - The reporter citation appears to be incorrect. The reporter location 72 Ohio App.3d 553 belongs to a different case.,https://www.courtlistener.com/opinion/3935804/stull-v-combustion-engineering-inc/,POSSIBLE_MATCH,"Name mismatch: citation exists at this reporter location but belongs to ""Stull v. Combustion Engineering, Inc.""",skip,
4,Intent element of extortion is satisfied only where threats are unrelated to lawful rights.,"State v. Milam, 2022-Ohio-3965 (10th Dist.)",State v. Eddy (2022-11-07) - Check Name,"Case not retrieved -- cannot verify. Citation 2022-Ohio-3965 belongs to State v. Eddy in CourtListener, not State v. Milam.",Red - The Ohio citation number appears to be incorrect. 2022-Ohio-3965 belongs to a different case.,https://www.courtlistener.com/opinion/8509675/state-v-eddy/,POSSIBLE_MATCH,"Name mismatch: citation exists at this reporter location but belongs to ""State v. Eddy""",skip,
