citation,status,confidence,cluster_id,url,matched_name,diagnostics
"Abbott Lab'ys v. Gardner, 387 U.S. 136 (1967)",NOT_FOUND,0.0,,,,No matching cases found in CourtListener opinions or RECAP
"Califano v. Sanders, 430 U.S. 99 (1977)",NOT_FOUND,0.0,,,,No matching cases found in CourtListener opinions or RECAP
"Am. Petrol. Inst. v. EPA, 683 F.3d 382 (D.C. Cir. 2012)",NOT_FOUND,0.3509,4155572,https://www.courtlistener.com/docket/4155572/01207623774/american-petroleum-institute-v-epa/,American Petroleum Institute v. EPA,"Found in RECAP (not in opinions database); Name mismatch: cited ""Am. Petrol. Inst. v. EPA"" vs found ""American Petroleum Institute v. EPA""; Year 2012 could not be verified; Reporter citation 683 F.3d 382 could not be confirmed (CourtListener has no reporter citations on file for this case)"
"Amgen Inc. v. Smith, 357 F.3d 103 (D.C. Cir. 2004)",POSSIBLE_MATCH,0.675,186143,https://www.courtlistener.com/opinion/186143/amgen-inc-v-scully-thomas/,"Amgen Inc. v. Scully, Thomas","Name mismatch: cited ""Amgen Inc. v. Smith"" vs found ""Amgen Inc. v. Scully, Thomas"", but we identified a possible match."
"Ams. for Prosperity Found. v. Bonta, 594 U.S. 595 (2021)",VERIFIED,1.0,4896549,https://www.courtlistener.com/opinion/4896549/americans-for-prosperity-foundation-v-bonta/,Americans for Prosperity Foundation v. Bonta,
"Aref v. Lynch, 833 F.3d 242 (D.C. Cir. 2016)",VERIFIED,1.0,4249286,https://www.courtlistener.com/opinion/4249286/yassin-aref-v-loretta-lynch/,Yassin Aref v. Loretta Lynch,
"Barr v. Am. Ass'n of Pol. Consultants, Inc., 591 U.S. 610 (2020)",NOT_FOUND,0.3484,4878495,https://www.courtlistener.com/opinion/4878495/niz-chavez-v-garland/,Niz-Chavez v. Garland,"Name mismatch: cited ""Barr v. Am. Association of Pol. Consultants, Inc."" vs found ""Niz-Chavez v. Garland""; Date close: cited 2020 vs filed 2021-04-29; Citation mismatch: cited 591 U.S. 610 but CourtListener has 593 U.S. 155"
"Bd. of Regents of Univ. of Wis. Sys. v. Southworth, 529 U.S. 217 (2000)",NOT_FOUND,0.0,,,,No matching cases found in CourtListener opinions or RECAP
"Becerra v. Dalton, 94 F.3d 145 (4th Cir. 1996)",LIKELY_REAL,0.95,7038884,https://www.courtlistener.com/opinion/7038884/becerra-v-dalton/,Becerra v. Dalton,We identified a likely match.
"Bennett v. Chertoff, 425 F.3d 999 (D.C. Cir. 2005)",LIKELY_REAL,0.875,186535,https://www.courtlistener.com/opinion/186535/bennett-patsy-f-v-chertoff-michael/,"Bennett, Patsy F. v. Chertoff, Michael",We identified a likely match.
"Bill Johnson's Rests., Inc. v. NLRB, 461 U.S. 731 (1983)",VERIFIED,1.0,110943,https://www.courtlistener.com/opinion/110943/bill-johnsons-restaurants-inc-v-national-labor-relations-board/,"Bill Johnson's Restaurants, Inc. v. National Labor Relations Board",
"Bldg. & Constr. Trades Dep't v. Allbaugh, 295 F.3d 28 (D.C. Cir. 2002)",VERIFIED,1.0,185756,https://www.courtlistener.com/opinion/185756/building-construction-trades-department-v-allbaugh/,Building & Construction Trades Department v. Allbaugh,
"Brady v. Off. of Sergeant at Arms, 520 F.3d 490 (D.C. Cir. 2008)",POSSIBLE_MATCH,0.8243,187112,https://www.courtlistener.com/opinion/187112/brady-v-office-of-the-sergeant-at-arms/,Brady v. Office of the Sergeant at Arms,"Name differs: cited ""Brady v. Office. of Sergeant at Arms"" ~ found ""Brady v. Office of the Sergeant at Arms"" (75% similar), but we identified a possible match."
