page,proposition,cited_case,retrieved_case,supporting_language,assessment,cl_url,cl_status,diagnostics,opinion_file,quoted_text,quote_check,quote_check_worst
3,"Evidence of prior settlement or verdict amounts is irrelevant to liability and damages in a subsequent, unrelated accident","Tompkins v. Cyr, 202 F.3d 770, 787 (5th Cir. 2000)",Tompkins v. Cyr,"The opinion does not discuss prior settlement or verdict amounts, nor their relevance to subsequent unrelated accidents. The case involves harassment by anti-abortion protesters — nothing about excluding prior settlement evidence. The quote ""consequential fact"" is FABRICATED and does not appear in the opinion.",Red,https://www.courtlistener.com/opinion/19782/tompkins-v-cyr/,VERIFIED,,opinions/Tompkins_v_Cyr.html,"[""consequential fact""]","[{""quote"": ""consequential fact"", ""result"": ""FABRICATED"", ""similarity"": 0.58}]",FABRICATED
3,Evidence that had no bearing on the specific issues before the jury should be excluded,"Collins v. Wayne Corp., 621 F.2d 777, 784 (5th Cir. 1980)","H. E. Collins and Joetta Collins, Surviving Parents and Personal Representatives of Karen Collins, Deceased v. Wayne Corporation","The opinion addresses relevance on cross-examination, but its holding is the opposite of what the brief implies: the court held that ""strict rules of relevancy are relaxed on cross-examination"" and upheld admission of prior testimony to impeach credibility, even though it involved ""an entirely different subject."" The brief cites this for excluding irrelevant evidence, but the opinion actually favored admission.",Yellow,https://www.courtlistener.com/opinion/378125/h-e-collins-and-joetta-collins-surviving-parents-and-personal/,VERIFIED,,opinions/H_E_Collins_and_Joetta_Collins_Surviving_Parents_and_Personal_Representatives_of_Karen_Collins_Deceased_v_Wayne_Corporat.html,[],[],NO_QUOTES
3,Rule 403 grants trial courts wide discretion to exclude evidence where the risk of prejudice outweighs probative value,"United States v. McRae, 593 F.2d 700, 707 (5th Cir. 1979)",United States v. Stephen Roderick McRae,"(1) Supports: ""the application of Rule 403 must be cautious and sparing. Its major function is limited to excluding matter of scant or cumulative probative force."" (p. 707) Quote ""wide discretion"" is VERBATIM.",Green,https://www.courtlistener.com/opinion/363891/united-states-v-stephen-roderick-mcrae/,VERIFIED,,opinions/United_States_v_Stephen_Roderick_McRae.html,"[""wide discretion""]","[{""quote"": ""wide discretion"", ""result"": ""VERBATIM"", ""similarity"": 1.0}]",VERBATIM
3,Unfair prejudice under Rule 403 refers to evidence that has an undue tendency to suggest decision on an improper basis,"Old Chief v. United States, 519 U.S. 172, 180 (1997)",Old Chief v. United States,"(1) Supports: ""'Unfair prejudice' within its context means an undue tendency to suggest decision on an improper basis, commonly, though not necessarily, an emotional one."" (p. 180) Both quotes VERBATIM.",Green,https://www.courtlistener.com/opinion/118074/old-chief-v-united-states/,VERIFIED,,opinions/Old_Chief_v_United_States.html,"[""Unfair prejudice"", ""an undue tendency to suggest decision on an improper basis, commonly, though not necessarily, an emotional one""]","[{""quote"": ""Unfair prejudice"", ""result"": ""VERBATIM"", ""similarity"": 1.0}, {""quote"": ""an undue tendency to suggest decision on an improper basis, commonly, though not necessarily, an emotional one"", ""result"": ""VERBATIM"", ""similarity"": 1.0}]",VERBATIM
4,The Collateral Source Rule is of common law origin and bars a tortfeasor from reducing their liability because the plaintiff received compensation from an independent source,"Bozeman v. State, 879 So. 2d 692, 698 (La. 2004)",Bozeman v. State,"(1) Supports: ""The collateral source rule is a rule of evidence and damages that is of common law origin"" and ""a tortfeasor may not benefit, and an injured plaintiff's tort recovery may not be reduced, because of monies received by the plaintiff from sources independent of the tortfeasor's procuration or contribution."" (pp. 697-698) Quote VERBATIM.",Green,https://www.courtlistener.com/opinion/1103946/bozeman-v-state/,VERIFIED,,opinions/Bozeman_v_State.html,"[""common law origin""]","[{""quote"": ""common law origin"", ""result"": ""VERBATIM"", ""similarity"": 1.0}]",VERBATIM
5,The policy behind Rule 408 is to encourage settlements and settlement evidence inviting improper inferences should be excluded,"Bankcard America, Inc. v. Universal Bancard Systems, Inc., 203 F.3d 477, 484 (7th Cir. 2000)","Bankcard America, Inc. v. Universal Bancard System, Inc.","(1) Partially supports: The opinion states ""the rule's purpose is to encourage settlements"" (p. 484). However, the brief quotes ""the policy behind Rule 408 is to encourage settlements"" — the actual language uses ""rule's purpose"" not ""policy behind Rule 408."" Paraphrase presented in quotation marks as if verbatim.",Yellow,https://www.courtlistener.com/opinion/7079960/bankcard-america-inc-v-universal-bancard-system-inc/,VERIFIED,,opinions/Bankcard_America_Inc_v_Universal_Bancard_System_Inc.html,"[""the policy behind Rule 408 is to encourage settlements""]","[{""quote"": ""the policy behind Rule 408 is to encourage settlements"", ""result"": ""CLOSE"", ""similarity"": 0.65}]",CLOSE
6,Spoliation sanctions require proof that the party acted in bad faith; mere negligence is insufficient,"King v. Illinois Cent. R.R., 337 F.3d 550, 556 (5th Cir. 2003)",King v. Illinois Central Railroad,"(1) Supports: ""An adverse inference based on the destruction of potential evidence is predicated on the 'bad conduct' of the defendant"" and ""King must show that ICR acted in 'bad faith.'"" (p. 556)",Green,https://www.courtlistener.com/opinion/8437633/king-v-illinois-central-railroad/,VERIFIED,,opinions/King_v_Illinois_Central_Railroad.html,[],[],NO_QUOTES
6,Spoliation sanctions require proof that the party acted in bad faith; mere negligence is insufficient,"Condrey v. SunTrust Bank of Ga., 431 F.3d 191, 203 (5th Cir. 2005)",Condrey v. Suntrust Bank of GA,"(1) Supports: ""The Fifth Circuit permits an adverse inference against the destroyer of evidence only upon a showing of 'bad faith' or 'bad conduct.'"" (pp. 408-411)",Green,https://www.courtlistener.com/opinion/39696/condrey-v-suntrust-bank-of-ga/,VERIFIED,,opinions/Condrey_v_Suntrust_Bank_of_GA.html,[],[],NO_QUOTES
6,Spoliation sanctions require proof that the party acted in bad faith; mere negligence is insufficient,"Guzman v. Jones, 804 F.3d 707, 713 (5th Cir. 2015)",Jaime Guzman v. Melvin Jones,"(1) Supports: ""We permit an adverse inference against the spoliator or sanctions against the spoliator only upon a showing of 'bad faith' or 'bad conduct.'"" Bad faith defined as ""destruction for the purpose of hiding adverse evidence.""",Green,https://www.courtlistener.com/opinion/3148675/jaime-guzman-v-melvin-jones/,VERIFIED,,opinions/Jaime_Guzman_v_Melvin_Jones.html,[],[],NO_QUOTES
6,A plaintiff has a right to reasonable medical care and is not required to delay necessary surgical intervention solely to preserve their physical condition for a defendant's inspection,"Gilliam v. Uni Holdings, LLC, 201 A.D.3d 83, 88-89 (1st Dep't 2021)",Gilliam v. Uni holdings,"(1) Substance correct — opinion states: ""Plaintiffs must be free to determine when to undergo medical treatments based on personal factors such as doctor's advice and their specific pain and discomfort level."" However, attributed quote is not verbatim — opinion says ""The state of one's body is fundamentally different from inanimate evidence"" (not ""a vehicle or other inanimate piece of evidence"") and uses different phrasing about medical treatment.",Yellow,https://www.courtlistener.com/opinion/5305052/gilliam-v-uni-holdings/,POSSIBLE_MATCH,"Low confidence: court not available in citation text; Citation mismatch: cited 201 A.D.3d 83 but CourtListener has 2021 NY Slip Op 06798, but we identified a possible match.",opinions/Gilliam_v_Uni_holdings.html,"[""Gilliam\u2019s body is fundamentally different from a vehicle or other inanimate piece of evidence\u2026 plaintiffs are free to determine when they should undergo medical treatment deemed necessary by their physicians""]","[{""quote"": ""Gilliam\u2019s body is fundamentally different from a vehicle or other inanimate piece of evidence\u2026 plaintiffs are free to determine when they should undergo medical treatment deemed necessary by their physicians"", ""result"": ""FABRICATED"", ""similarity"": 0.47}]",FABRICATED
