page,proposition,cited_case,retrieved_case,supporting_language,assessment,cl_url,cl_status,diagnostics,opinion_file,syllabus,quoted_text,brief_sentence,quote_check,quote_check_worst,brief_block,opinion_block,finding_analysis,badge_label
3,Evidence must be relevant to a consequential fact in the case at bar.,"Tompkins v. Cyr, 202 F.3d 770, 787 (5th Cir. 2000)",Tompkins v. Cyr,,Red,https://www.courtlistener.com/opinion/19782/tompkins-v-cyr/,VERIFIED,,opinions/Tompkins_v_Cyr.html,,"[""consequential fact""]","Courts consistently and uniformly hold that evidence of prior settlement or verdict amounts is irrelevant to the issues of liability and damages in a subsequent, unrelated accident. See Tompkins v. Cyr, 202 F.3d 770, 787 (5th Cir. 2000) (evidence must be relevant to a ""consequential fact"" in the case at bar); Collins v. Wayne Corp., 621 F.2d 777, 784 (5th Cir. 1980) (excluding evidence that had no bearing on the specific issues before the jury).","[{""quote"": ""consequential fact"", ""result"": ""CLOSE"", ""similarity"": 0.62, ""matched_passage"": ""facts sufficient for the fact-finder reasonably to infer that the defendants\u2019 acts were a substantial factor in bringing about the injury. Purina Mills, Inc. v.""}]",CLOSE,"Courts consistently and uniformly hold that evidence of prior settlement or verdict amounts is irrelevant to the issues of liability and damages in a subsequent, unrelated accident. See Tompkins v. Cyr, 202 F.3d 770, 787 (5th Cir. 2000) (evidence must be relevant to a ""consequential fact"" in the case at bar) [...]",,"Tompkins v. Cyr is a civil RICO and state-tort case about anti-abortion protesters who harassed a doctor and his wife for ten months, resulting in an approximately $8 million jury verdict for intentional infliction of emotional distress, invasion of privacy, and civil conspiracy. It does not address Rule 401 relevance or the admissibility of prior settlement or verdict amounts in a subsequent unrelated accident. The phrase ""consequential fact"" does not appear in the opinion, and page 787 addresses issues unrelated to the evidentiary relevance proposition the brief cites it for. The cited parenthetical has no basis in this opinion.",Case on unrelated subject
3,Evidence that has no bearing on the specific issues before the jury should be excluded.,"Collins v. Wayne Corp., 621 F.2d 777, 784 (5th Cir. 1980)","H. E. Collins and Joetta Collins, Surviving Parents and Personal Representatives of Karen Collins, Deceased v. Wayne Corporation",,Red,https://www.courtlistener.com/opinion/378125/h-e-collins-and-joetta-collins-surviving-parents-and-personal/,VERIFIED,,opinions/H_E_Collins_and_Joetta_Collins_Surviving_Parents_and_Personal_Representatives_of_Karen_Collins_Deceased_v_Wayne_Corporat.html,,[],"Courts consistently and uniformly hold that evidence of prior settlement or verdict amounts is irrelevant to the issues of liability and damages in a subsequent, unrelated accident. See Tompkins v. Cyr, 202 F.3d 770, 787 (5th Cir. 2000) (evidence must be relevant to a ""consequential fact"" in the case at bar); Collins v. Wayne Corp., 621 F.2d 777, 784 (5th Cir. 1980) (excluding evidence that had no bearing on the specific issues before the jury).",[],NO_QUOTES,"Courts consistently and uniformly hold that evidence of prior settlement or verdict amounts is irrelevant to the issues of liability and damages in a subsequent, unrelated accident. See [...] Collins v. Wayne Corp., 621 F.2d 777, 784 (5th Cir. 1980) (excluding evidence that had no [...]",,"Collins v. Wayne Corp. is a products-liability action arising from a 1972 bus-tractor-trailer collision on a New Mexico bridge that killed nineteen and injured eleven passengers, brought under Restatement (Second) of Torts Sections 402A and 402B against the bus manufacturer for defective seat design and crashworthiness. It does not address the exclusion of prior settlement or verdict evidence in a subsequent unrelated accident. The opinion's evidentiary rulings concern Rule 801(d)(2)(C) party-admissions (Greene deposition) and expert-testimony issues, not Rule 401 relevance to ""specific issues before the jury."" Page 784 does not support the proposition the brief attributes to it.",Case on unrelated subject
3,Rule 403 grants trial courts wide discretion to exclude evidence where the risk of prejudice outweighs probative value.,"United States v. McRae, 593 F.2d 700, 707 (5th Cir. 1979)",United States v. Stephen Roderick McRae,,Yellow,https://www.courtlistener.com/opinion/363891/united-states-v-stephen-roderick-mcrae/,VERIFIED,,opinions/United_States_v_Stephen_Roderick_McRae.html,,"[""wide discretion""]","The Fifth Circuit has emphasized that Rule 403 grants trial courts ""wide discretion"" to exclude evidence where the risk of prejudice outweighs probative value. United States v. McRae, 593 F.2d 700, 707 (5th Cir. 1979).","[{""quote"": ""wide discretion"", ""result"": ""VERBATIM"", ""similarity"": 1.0, ""matched_passage"": "". As to rulings of this sort, it is a commonplace that the trial court enjoys a wide discretion, one which we do not disturb except for abuse.""}]",VERBATIM,"The Fifth Circuit has emphasized that Rule 403 grants trial courts ""wide discretion"" to exclude evidence where the risk of prejudice outweighs probative value. United States v. McRae, 593 F.2d 700, 707 (5th Cir. 1979).","The remaining two claimed errors involve evidentiary rulings by the district court. As to rulings of this sort, it is a commonplace that the trial court enjoys a wide discretion, one which we do not disturb except for abuse.","The quoted phrase ""wide discretion"" does appear verbatim on page 707 of the McRae opinion, but the brief's framing misattributes its scope. McRae does not say that Rule 403 itself grants trial courts ""wide discretion""; rather, the opinion uses that phrase as a general observation about evidentiary rulings by district courts (""the trial court enjoys a wide discretion, one which we do not disturb except for abuse""). The opinion then discusses Rule 403 in the specific context of challenged photographs of the murder victim.

McRae does support the broader proposition that trial courts have wide discretion over Rule 403 determinations -- the opinion describes Rule 403's function, noting that ""it is only unfair prejudice, substantially outweighing probative value, which permits exclusion of relevant matter under Rule 403"" and that application of Rule 403 ""must be cautious and sparing."" The opinion's characterization of the trial court's discretion supports the brief's general proposition, though the direct quote ""wide discretion"" is a generic statement about evidentiary rulings rather than a Rule-403-specific holding. The minor stretch in attributing the phrase specifically to Rule 403 is a light rewording rather than a material misrepresentation of the case.",Reworded -- not a verbatim quote
3,"""Unfair prejudice"" under Rule 403 refers to evidence that has an undue tendency to suggest decision on an improper basis.","Old Chief v. United States, 519 U.S. 172, 180 (1997)",Old Chief v. United States,,Green,https://www.courtlistener.com/opinion/118074/old-chief-v-united-states/,VERIFIED,,opinions/Old_Chief_v_United_States.html,,"[""Unfair prejudice"", ""an undue tendency to suggest decision on an improper basis, commonly, though not necessarily, an emotional one.""]","""Unfair prejudice"" within the meaning of Rule 403 refers to evidence that has ""an undue tendency to suggest decision on an improper basis, commonly, though not necessarily, an emotional one."" Old Chief v. United States, 519 U.S. 172, 180 (1997).","[{""quote"": ""Unfair prejudice"", ""result"": ""VERBATIM"", ""similarity"": 1.0, ""matched_passage"": ""missible under Rule 403 of the Federal Rules of Evidence, the danger being that unfair prejudice from that evidence would substantially outweigh its probative value.""}, {""quote"": ""an undue tendency to suggest decision on an improper basis, commonly, though not necessarily, an emotional one."", ""result"": ""VERBATIM"", ""similarity"": 1.0, ""matched_passage"": ""mmittee Notes to Rule 403 explain, \u201c\u2018Unfair prejudice\u2019 within its context means an undue tendency to suggest decision on an improper basis, commonly, though not necessarily, an emotional one.\u201d Advisory Committee\u2019s Notes on Fed. Rule Evid. 403, 28 U. S. C. App., p. 860.""}]",VERBATIM,"""Unfair prejudice"" within the meaning of Rule 403 refers to evidence that has ""an undue tendency to suggest decision on an improper basis, commonly, though not necessarily, an emotional one."" Old Chief v. United States, 519 U.S. 172, 180 (1997).","So, the Committee Notes to Rule 403 explain, ""'Unfair prejudice' within its context means an undue tendency to suggest decision on an improper basis, commonly, though not necessarily, an emotional one.""","Both quoted phrases appear verbatim on page 180 of the Old Chief opinion. The Supreme Court, quoting the Advisory Committee's Notes to Rule 403, explained that ""'Unfair prejudice' within its context means an undue tendency to suggest decision on an improper basis, commonly, though not necessarily, an emotional one.""

The brief accurately captures the substance of this passage, which is a canonical articulation of what ""unfair prejudice"" means under Rule 403. The citation is used appropriately and faithfully in support of the proposition offered.",Supported
4,The Collateral Source Rule is of common law origin and bars a tortfeasor from reducing liability because the plaintiff received compensation from an independent source.,"Bozeman v. State, 879 So. 2d 692, 698 (La. 2004)",Bozeman v. State,,Green,https://www.courtlistener.com/opinion/1103946/bozeman-v-state/,VERIFIED,,opinions/Bozeman_v_State.html,,"[""common law origin""]","The Collateral Source Rule is of ""common law origin"" and bars a tortfeasor from reducing their liability because the plaintiff received compensation from an independent source. Bozeman v. State, 879 So. 2d 692, 698 (La. 2004).","[{""quote"": ""common law origin"", ""result"": ""VERBATIM"", ""similarity"": 1.0, ""matched_passage"": ""CUSSION The collateral source rule is a rule of evidence and damages that is of common law origin, yet embraced and applied by Louisiana courts.""}]",VERBATIM,"The Collateral Source Rule is of ""common law origin"" and bars a tortfeasor from reducing their liability because the plaintiff received compensation from an independent source. Bozeman v. State, 879 So. 2d 692, 698 (La. 2004).","The collateral source rule is a rule of evidence and damages that is of common law origin, yet embraced and applied by Louisiana courts. . . . Under the collateral source rule, a tortfeasor may not benefit, and an injured plaintiff's tort recovery may not be reduced, because of monies received by the plaintiff from sources independent of the tortfeasor's procuration or contribution.","The Bozeman court expressly describes the collateral source rule as being 'of common law origin' (the quoted phrase appears verbatim) and articulates the rule in the same terms used by the brief: a tortfeasor cannot benefit, and a plaintiff's recovery cannot be reduced, because of payments from sources independent of the tortfeasor. The brief's characterization accurately tracks the opinion.",Supported
5,The policy behind Rule 408 is to encourage settlements.,"Bankcard America, Inc. v. Universal Bancard Systems, Inc., 203 F.3d 477, 484 (7th Cir. 2000)","Bankcard America, Inc. v. Universal Bancard System, Inc.",,Yellow,https://www.courtlistener.com/opinion/7079960/bankcard-america-inc-v-universal-bancard-system-inc/,VERIFIED,,opinions/Bankcard_America_Inc_v_Universal_Bancard_System_Inc.html,,"[""the policy behind Rule 408 is to encourage settlements""]","See Bankcard America, Inc. v. Universal Bancard Systems, Inc., 203 F.3d 477, 484 (7th Cir. 2000) (recognizing that ""the policy behind Rule 408 is to encourage settlements"").","[{""quote"": ""the policy behind Rule 408 is to encourage settlements"", ""result"": ""CLOSE"", ""similarity"": 0.65, ""matched_passage"": ""Central Soya, 676 F.2d at 944 . See also Winchester Packaging, 14 F.3d at 320 . The purpose of Rule 408 is to encourage settlements. Settlements will not be encouraged if one party during settlement talks seduces t""}]",CLOSE,"See Bankcard America, Inc. v. Universal Bancard Systems, Inc., 203 F.3d 477, 484 (7th Cir. 2000) (recognizing that ""the policy behind Rule 408 is to encourage settlements"").",The purpose of Rule 408 is to encourage settlements.,"The brief presents ""the policy behind Rule 408 is to encourage settlements"" as a direct quotation, but the opinion uses different wording: ""The purpose of Rule 408 is to encourage settlements."" The opinion does say elsewhere that ""the rule's purpose is to encourage settlements."" The substantive proposition -- that Rule 408's aim is to encourage settlements -- is fully supported, but the language placed inside quotation marks does not appear in the opinion. This is a rewording presented as a verbatim quote.",Paraphrase presented as direct quote
6,Spoliation sanctions in the Fifth Circuit require proof that the party acted in bad faith; mere negligence is insufficient.,"King v. Illinois Cent. R.R., 337 F.3d 550, 556 (5th Cir. 2003)",King v. Illinois Central Railroad,,Green,https://www.courtlistener.com/opinion/8437633/king-v-illinois-central-railroad/,VERIFIED,,opinions/King_v_Illinois_Central_Railroad.html,,[],"The Fifth Circuit has established clear standards for when spoliation sanctions are appropriate, requiring proof that the party acted in bad faith—mere negligence is insufficient. King v. Illinois Cent. R.R., 337 F.3d 550, 556 (5th Cir. 2003); Condrey v. SunTrust Bank of Ga., 431 F.3d 191, 203 (5th Cir. 2005); Guzman v. Jones, 804 F.3d 707, 713 (5th Cir. 2015).",[],NO_QUOTES,"The Fifth Circuit has established clear standards for when spoliation sanctions are appropriate, requiring proof that the party acted in bad faith--mere negligence is insufficient. King v. Illinois Cent. R.R., 337 F.3d 550, 556 (5th Cir. 2003); Condrey v. SunTrust Bank of Ga., 431 F.3d 191, 203 (5th Cir. 2005); Guzman v. Jones, 804 F.3d 707, 713 (5th Cir. 2015).","An adverse inference based on the destruction of potential evidence is predicated on the ""bad conduct"" of the defendant. . . . Therefore, King must show that ICR acted in ""bad faith"" to establish that it was entitled to an adverse inference.","King squarely holds that, in the Fifth Circuit, a party seeking an adverse inference based on spoliation must show that the opposing party acted in bad faith; an adverse inference is predicated on 'bad conduct.' The brief's proposition that the Fifth Circuit requires bad faith for spoliation sanctions is directly supported. Although King does not use the exact phrase 'mere negligence is insufficient,' the bad-faith requirement necessarily excludes mere negligence as a basis for sanctions.",Supported
6,Spoliation sanctions in the Fifth Circuit require proof that the party acted in bad faith; mere negligence is insufficient.,"Condrey v. SunTrust Bank of Ga., 431 F.3d 191, 203 (5th Cir. 2005)",Condrey v. Suntrust Bank of GA,,Green,https://www.courtlistener.com/opinion/39696/condrey-v-suntrust-bank-of-ga/,VERIFIED,,opinions/Condrey_v_Suntrust_Bank_of_GA.html,,[],"The Fifth Circuit has established clear standards for when spoliation sanctions are appropriate, requiring proof that the party acted in bad faith—mere negligence is insufficient. King v. Illinois Cent. R.R., 337 F.3d 550, 556 (5th Cir. 2003); Condrey v. SunTrust Bank of Ga., 431 F.3d 191, 203 (5th Cir. 2005); Guzman v. Jones, 804 F.3d 707, 713 (5th Cir. 2015).",[],NO_QUOTES,"The Fifth Circuit has established clear standards for when spoliation sanctions are appropriate, requiring proof that the party acted in bad faith--mere negligence is insufficient. King v. Illinois Cent. R.R., 337 F.3d 550, 556 (5th Cir. 2003); Condrey v. SunTrust Bank of Ga., 431 F.3d 191, 203 (5th Cir. 2005); Guzman v. Jones, 804 F.3d 707, 713 (5th Cir. 2015).","The Fifth Circuit permits an adverse inference against the destroyer of evidence only upon a showing of ""bad faith"" or ""bad conduct.""",Condrey expressly states -- citing King -- that the Fifth Circuit permits an adverse spoliation inference only on a showing of 'bad faith' or 'bad conduct.' This directly supports the brief's proposition that spoliation sanctions in the Fifth Circuit require bad faith and that negligence alone will not suffice.,Supported
6,Spoliation sanctions in the Fifth Circuit require proof that the party acted in bad faith; mere negligence is insufficient.,"Guzman v. Jones, 804 F.3d 707, 713 (5th Cir. 2015)",Jaime Guzman v. Melvin Jones,,Green,https://www.courtlistener.com/opinion/3148675/jaime-guzman-v-melvin-jones/,VERIFIED,,opinions/Jaime_Guzman_v_Melvin_Jones.html,,[],"The Fifth Circuit has established clear standards for when spoliation sanctions are appropriate, requiring proof that the party acted in bad faith—mere negligence is insufficient. King v. Illinois Cent. R.R., 337 F.3d 550, 556 (5th Cir. 2003); Condrey v. SunTrust Bank of Ga., 431 F.3d 191, 203 (5th Cir. 2005); Guzman v. Jones, 804 F.3d 707, 713 (5th Cir. 2015).",[],NO_QUOTES,"The Fifth Circuit has established clear standards for when spoliation sanctions are appropriate, requiring proof that the party acted in bad faith—mere negligence is insufficient. King v. Illinois Cent. R.R., 337 F.3d 550, 556 (5th Cir. 2003); Condrey v. SunTrust Bank of Ga., 431 F.3d 191, 203 (5th Cir. 2005); Guzman v. Jones, 804 F.3d 707, 713 (5th Cir. 2015).",We permit an adverse inference against the spoliator or sanctions against the spoliator only upon a showing of “bad faith” or “bad conduct.” ... The district court concluded that the timing of Guzman’s surgery alone was insufficient to demonstrate he had acted in bad faith.,"Guzman at 713 directly supports the proposition. The Fifth Circuit held that adverse inferences or spoliation sanctions are permitted 'only upon a showing of ""bad faith"" or ""bad conduct""' (quoting Condrey, 431 F.3d at 203), and affirmed the denial of sanctions where the record showed no bad faith. The pinpoint cite is accurate and the proposition is a fair statement of the holding.",Supported
6,"The human body is fundamentally different from inanimate evidence, and a plaintiff's decision to undergo surgery does not constitute spoliation of evidence.","Gilliam v. Uni Holdings, LLC, 201 A.D.3d 83, 88-89 (1st Dep't 2021)",Gilliam v. Uni holdings,,Yellow,https://www.courtlistener.com/opinion/5305052/gilliam-v-uni-holdings/,POSSIBLE_MATCH,"Low confidence: court not available in citation text; Citation mismatch: cited 201 A.D.3d 83 but CourtListener has 2021 NY Slip Op 06798, but we identified a possible match.",opinions/Gilliam_v_Uni_holdings.html,,"[""Gilliam's body is fundamentally different from a vehicle or other inanimate piece of evidence… plaintiffs are free to determine when they should undergo medical treatment deemed necessary by their physicians."", ""a plaintiff's decision to undergo surgery does not constitute spoliation of evidence.""]","As one court aptly explained, the human body is fundamentally different from inanimate evidence: ""Gilliam's body is fundamentally different from a vehicle or other inanimate piece of evidence… plaintiffs are free to determine when they should undergo medical treatment deemed necessary by their physicians."" Gilliam v. Uni Holdings, LLC, 201 A.D.3d 83, 88–89 (1st Dep't 2021). The court emphasized that ""a plaintiff's decision to undergo surgery does not constitute spoliation of evidence."" Id.","[{""quote"": ""Gilliam's body is fundamentally different from a vehicle or other inanimate piece of evidence\u2026 plaintiffs are free to determine when they should undergo medical treatment deemed necessary by their physicians."", ""result"": ""FABRICATED"", ""similarity"": 0.48, ""matched_passage"": ""claimed injury and to dispute the need for any treatment at all\"" ( Bazakos v Lewis , 12 NY3d 631, 638 [2009] [Lipman, Ch. J., dissenting]). Viewed in this context, an ME is simply one piece of evidence in a personal injury action. Plaintiffs must be free to determine when to undergo medical treatments based on personal factors such as doctor's advice and their specific pain and discomfort level.""}, {""quote"": ""a plaintiff's decision to undergo surgery does not constitute spoliation of evidence."", ""result"": ""FABRICATED"", ""similarity"": 0.57, ""matched_passage"": ""or an injury so as not to potentially compromise a lawsuit against the party(s) alleged to have caused the injury. Thus, plaintiff's pre-ME spine surgery did not result in the spoliation of evidence. Defendant's categorization of the plaintiff's surgery as \""non-emergency\"" does not alter""}]",FABRICATED,"As one court aptly explained, the human body is fundamentally different from inanimate evidence: ""Gilliam's body is fundamentally different from a vehicle or other inanimate piece of evidence… plaintiffs are free to determine when they should undergo medical treatment deemed necessary by their physicians."" Gilliam v. Uni Holdings, LLC, 201 A.D.3d 83, 88–89 (1st Dep't 2021). The court emphasized that ""a plaintiff's decision to undergo surgery does not constitute spoliation of evidence.""","The state of one's body is fundamentally different from inanimate evidence, and medical treatment, including surgery, is entirely distinct from the destruction of documents or tangible evidence which spoliation sanctions attempt to ameliorate. ... Plaintiffs must be free to determine when to undergo medical treatments based on personal factors such as doctor's advice and their specific pain and discomfort level. ... Thus, plaintiff's pre-ME spine surgery did not result in the spoliation of evidence.","The underlying proposition is fully supported by Gilliam—the First Department held that the condition of one's body is not subject to spoliation analysis and that plaintiffs must be free to make medical decisions. However, neither of the passages presented in quotation marks appears verbatim in the opinion. The actual language is 'The state of one's body is fundamentally different from inanimate evidence' (not 'Gilliam's body is fundamentally different from a vehicle or other inanimate piece of evidence'), and 'Plaintiffs must be free to determine when to undergo medical treatments based on personal factors such as doctor's advice and their specific pain and discomfort level' (not 'plaintiffs are free to determine when they should undergo medical treatment deemed necessary by their physicians'). The second quoted sentence—'a plaintiff's decision to undergo surgery does not constitute spoliation of evidence'—is also not verbatim; the opinion states 'plaintiff's pre-ME spine surgery did not result in the spoliation of evidence.' Because the substantive proposition is supported but the quotation marks misrepresent the opinion's actual wording, this is reworded/paraphrased language presented as direct quotation.",Paraphrase presented as direct quote
