pdf,citation_text,context,classification,case_name,plaintiff,defendant,volume,reporter,page,court,year,month,day,docket_number,is_westlaw,wl_number,review_reason,v_status,v_confidence,v_url,v_matched_name,v_git_hash,qc_status,qc_notes,
1685s24.pdf,"Md. State Bd. Elections v. Libertarian Party of Md., 426 Md. 488 (2012)","...several issues with cases cited in [Mr. Boyd's] brief. Of the 14 cases cited in [his] brief, at least [six] contain a citation irregularity: 1) Md. State Bd. of Elections v. Libertarian Party of Md., 426 Md. 488 (2012), see Appellant's Br. at 3, 7, does not support [Mr. Boyd's] stated proposition",likely_fake,Md. State Board. Elections v. Libertarian Party of Md.,Md. State Board. Elections,Libertarian Party of Md.,426,Md.,488,md,2012,,,,FALSE,,,VERIFIED,1,https://www.courtlistener.com/opinion/2298767/maryland-state-board-of-elections-v-libertarian-party/,Maryland State Board of Elections v. Libertarian Party,fbdbb4a,approved,,
1685s24.pdf,"Lohrmann v. Lohrmann, 148 Md. App. 456 (2002)","...on irregularity: 1) Md. State Bd. of Elections v. Libertarian Party of Md., 426 Md. 488 (2012), see Appellant's Br. at 3, 7, does not support [Mr. Boyd's] stated proposition. 2) Lohrmann v. Lohrmann, 148 Md. App. 456 (2002), see Appellant's Br. at 3, 7, does not exist. 3) Townsend v. Meyer, 129 M",likely_fake,Lohrmann v. Lohrmann,Lohrmann,Lohrmann,148,Md. App.,456,mdctspecapp,2002,,,,FALSE,,,NOT_FOUND,0,,,e64568a,approved,confirmed hallucination,
1685s24.pdf,"Townsend v. Meyer, 129 Md. App. 598 (2000)","...2), see Appellant's Br. at 3, 7, does not support [Mr. Boyd's] stated proposition. 2) Lohrmann v. Lohrmann, 148 Md. App. 456 (2002), see Appellant's Br. at 3, 7, does not exist. 3) Townsend v. Meyer, 129 Md. App. 598 (2000), see Appellant's Br. at 3, does not exist. 4) Davis v. Davis, 280 Md. 119",likely_fake,Townsend v. Meyer,Townsend,Meyer,129,Md. App.,598,mdctspecapp,2000,,,,FALSE,,,,,,,,,,
1685s24.pdf,"Davis v. Davis, 280 Md. 119 (1977)","...Lohrmann v. Lohrmann, 148 Md. App. 456 (2002), see Appellant's Br. at 3, 7, does not exist. 3) Townsend v. Meyer, 129 Md. App. 598 (2000), see Appellant's Br. at 3, does not exist. 4) Davis v. Davis, 280 Md. 119 (1977), see Appellant's Br. at 4, 7, does not support [Mr. Boyd's] stated proposition",likely_fake,Davis v. Davis,Davis,Davis,280,Md.,119,md,1977,,,,FALSE,,,VERIFIED,1,https://www.courtlistener.com/opinion/7964138/davis-v-davis/,Davis v. Davis,3fbf7a8,approved,,
1685s24.pdf,"Lee v. Andochick, 182 Md. App. 268 (2008)",".... App. 598 (2000), see Appellant's Br. at 3, does not exist. 4) Davis v. Davis, 280 Md. 119 (1977), see Appellant's Br. at 4, 7, does not support [Mr. Boyd's] stated proposition. 5) Lee v. Andochick, 182 Md. App. 268 (2008), see Appellant's Br. at 4, 7-8, does not support [Mr. Boyd's] stated prop",likely_fake,Lee v. Andochick,Lee,Andochick,182,Md. App.,268,mdctspecapp,2008,,,,FALSE,,,VERIFIED,1,https://www.courtlistener.com/opinion/2066325/lee-v-andochick/,Lee v. Andochick,3fbf7a8,approved,,
1685s24.pdf,"Bowie v. Bowie, 182 Md. App. 57 (2008)","... 7, does not support [Mr. Boyd's] stated proposition. 5) Lee v. Andochick, 182 Md. App. 268 (2008), see Appellant's Br. at 4, 7-8, does not support [Mr. Boyd's] stated proposition. 6) Bowie v. Bowie, 182 Md. App. 57 (2008), see Appellant's Br. at 4, 8, does not exist.[5] Accordingly, it is, this ",likely_fake,Bowie v. Bowie,Bowie,Bowie,182,Md. App.,57,mdctspecapp,2008,,,,FALSE,,,NOT_FOUND,0,https://www.courtlistener.com/opinion/2066074/kroll-v-fisher/,Kroll v. Fisher,a0a9afc,approved,confirmed hallucination,
1685s24.pdf,"Pickett v. Noba, Inc., 122 Md. App. 566 (1998)","... proposition cited; and it is further 5 We later identified two additional citation irregularities, which were cited in Mr. Boyd's brief but not in the table of authorities: 1) Pickett v. Noba, Inc., 122 Md. App. 566 (1998), see Appellant's Br. at 6, does not support [Mr. Boyd's] stated propositi",likely_fake,"Pickett v. Noba, Inc.",Pickett,"Noba, Inc.",122,Md. App.,566,mdctspecapp,1998,,,,FALSE,,,LIKELY_REAL,0.95,https://www.courtlistener.com/opinion/2399616/pickett-v-noba-inc/,"Pickett v. Noba, Inc.",e697e44,approved,,
1685s24.pdf,"Furr v. Furr, 199 Md. App. 1 (2011)","...n Mr. Boyd's brief but not in the table of authorities: 1) Pickett v. Noba, Inc., 122 Md. App. 566 (1998), see Appellant's Br. at 6, does not support [Mr. Boyd's] stated proposition. 2) Furr v. Furr, 199 Md. App. 1 (2011), see Appellant's Br. at 6, does not exist. 3 — Unreported Opinion — ORDERED",likely_fake,Furr v. Furr,Furr,Furr,199,Md. App.,1,mdctspecapp,2011,,,,FALSE,,,,,,,,,,
1685s24.pdf,"Mezu v. Mezu, 267 Md. App. 354 (2025)","... is good ground to support it[.]"" Md. Rule 1-311(b). Thus, signing and filing a brief that contains hallucinated law may implicate the Maryland Attorneys' Rules of Professional Conduct. Mezu v. Mezu, 267 Md. App. 354, 369, 374 (2025) (holding that counsel's submission of brief with hallucinated c",uncertain,Mezu v. Mezu,Mezu,Mezu,267,Md. App.,354,mdctspecapp,2025,,,,FALSE,,,LIKELY_REAL,0.9,https://www.courtlistener.com/opinion/10714052/mezu-v-mezu/,Mezu v. Mezu,fbdbb4a,approved,,
Button_v._Mccawley_USA_4_February_2026.pdf,"Harris v. City of Auburn, 27 F.3d 1284 (7th Cir. 1994)","...Harris v. City of Auburn case in existence, but it is 1994 decision from the Seventh Circuit involving a motion to vacate a prior order dismissing a case with prejudice. See Harris v. City of Auburn, 27 F.3d 1284 (7th Cir. 1994). 5 Case 0:24-cv-60911-DSL Document 87 Entered on that ""[c]ourts must",likely_fake,Harris v. City of Auburn,Harris,City of Auburn,27,F.3d,1284,ca7,1994,,,,FALSE,,,VERIFIED,1,https://www.courtlistener.com/opinion/672904/thomas-e-harris-v-city-of-auburn-george-brown-mary-thornton/,"Thomas E. Harris v. City of Auburn, George Brown, Mary Thornton",fbdbb4a,approved,,
