claim_id,page,proposition,cited_for,cited_case,retrieved_case,supporting_language,assessment,cl_url,cl_status,diagnostics,opinion_file,syllabus,quoted_text,brief_sentence,quote_check,quote_check_worst,quote_floor,crosscheck_flags,triage_track,prescreen_hint,support,badge_label,brief_block,opinion_block,finding_analysis,assessed_by
sonnet-q3-protest-01,1,"First Amendment protections apply to state and local governments, including police, through the Fourteenth Amendment.",,"Edwards v. South Carolina, 372 U.S. 229, 235 (1963)",Edwards v. South Carolina,,Green,https://www.courtlistener.com/opinion/106538/edwards-v-south-carolina/,VERIFIED,,opinions/Edwards_v_South_Carolina.html,,[],"These protections apply to state and local government—including the Chicago Police—through the Fourteenth Amendment. Edwards v. South Carolina, 372 U.S. 229, 235 (1963).",[],NO_QUOTES,,,fast,,supported,Supported,"These protections apply to state and local government—including the Chicago Police—through the Fourteenth Amendment. Edwards v. South Carolina, 372 U.S. 229, 235 (1963).",,"Edwards directly supports the proposition: at the cited page the Court states that ""these First Amendment freedoms are protected by the Fourteenth Amendment from invasion by the States,"" citing Gitlow, Whitney, Stromberg, De Jonge, and Cantwell, which is exactly the incorporation point the brief makes.",claude-opus-4-8/assess-v2
sonnet-q3-protest-02,1,"The First Amendment's core purpose is to protect political dissent, particularly speech directed at government policy.",Political protest and boycotts are protected even when government policy is the target.,"NAACP v. Claiborne Hardware Co., 458 U.S. 886, 907–09 (1982)",National Ass'n for the Advancement of Colored People v. Claiborne Hardware Co.,,Green,https://www.courtlistener.com/opinion/110798/national-assn-for-the-advancement-of-colored-people-v-claiborne-hardware/,VERIFIED,,opinions/National_Ass_n_for_the_Advancement_of_Colored_People_v_Claiborne_Hardware_Co.html,,[],"The Supreme Court has repeatedly held that the First Amendment's core purpose is to protect political dissent, particularly speech directed at government policy. NAACP v. Claiborne Hardware Co., 458 U.S. 886, 907–09 (1982) (political protest and boycotts protected even when government policy is the target).",[],NO_QUOTES,,,fast,,supported,Supported,"The Supreme Court has repeatedly held that the First Amendment's core purpose is to protect political dissent, particularly speech directed at government policy. NAACP v. Claiborne Hardware Co., 458 U.S. 886, 907–09 (1982) (political protest and boycotts protected even when government policy is the target).",,"The opinion directly supports the cited-for assertion that political protest and boycotts are protected even when government policy is the target. At the pinpointed pages 907–09 (Part II.A), the Court canvasses the protected elements of the boycott—speech, assembly, association, and petition—and quotes De Jonge v. Oregon for the principle that peaceable assembly for lawful political discussion cannot be made a crime. The Court emphasizes that a major purpose of the boycott was to influence governmental action and holds that 'the nonviolent elements of petitioners' activities are entitled to the protection of the First Amendment,' and that the State could not prohibit 'a nonviolent, politically motivated boycott designed to force governmental and economic change.' This squarely grounds the proposition that politically motivated boycotts and protest aimed at changing government policy retain First Amendment protection.",claude-opus-4-8/assess-v2
sonnet-q3-protest-03,1,"Streets and parks are traditional public forums that have immemorially been held in trust for public assembly and discussion, establishing the public forum doctrine.",,"Hague v. Committee for Industrial Organization, 307 U.S. 496, 515 (1939)",Haguer v. Committee for Industrial Organization,,Gray,https://www.courtlistener.com/opinion/103226/haguer-v-committee-for-industrial-organization/,VERIFIED,,opinions/Haguer_v_Committee_for_Industrial_Organization.html,,"[""Streets and parks … have immemorially been held in trust for the use of the public and, time out of mind, have been used for purposes of assembly, communicating thoughts between citizens, and discussing public questions.""]","As Justice Roberts wrote in Hague v. Committee for Industrial Organization, 307 U.S. 496, 515 (1939) — the foundational case establishing the public forum doctrine: ""Streets and parks … have immemorially been held in trust for the use of the public and, time out of mind, have been used for purposes of assembly, communicating thoughts between citizens, and discussing public questions.""","[{""quote"": ""Streets and parks \u2026 have immemorially been held in trust for the use of the public and, time out of mind, have been used for purposes of assembly, communicating thoughts between citizens, and discussing public questions."", ""result"": ""FABRICATED"", ""similarity"": 0.3}]",FABRICATED,Yellow,,full,,unverifiable,Opinion text truncated -- cannot verify,"As Justice Roberts wrote in Hague v. Committee for Industrial Organization, 307 U.S. 496, 515 (1939) — the foundational case establishing the public forum doctrine: ""Streets and parks … have immemorially been held in trust for the use of the public and, time out of mind, have been used for purposes of assembly, communicating thoughts between citizens, and discussing public questions.""",,"The opinion file provided contains only Hague's one-paragraph per curiam disposition, which announces that ""the decree is modified and as modified affirmed"" and notes that ""Mr. Justice Roberts has an opinion in which Mr. Justice Black concurs."" The body of Justice Roberts's opinion — where the cited public-forum language about streets and parks being ""held in trust for the use of the public"" appears — is not included in the text. Because the substantive passage the brief quotes and attributes to page 515 is absent from the document supplied, the proposition cannot be verified against this text.",claude-opus-4-8/assess-v2
sonnet-q3-protest-04,1,"Content-neutral time, place, and manner restrictions are valid only if content-neutral, narrowly tailored to a significant governmental interest, and leaving open ample alternative channels.",,"Ward v. Rock Against Racism, 491 U.S. 781, 791 (1989)",Ward v. Rock Against Racism,,Green,https://www.courtlistener.com/opinion/112315/ward-v-rock-against-racism/,VERIFIED,,opinions/Ward_v_Rock_Against_Racism.html,,[],"Under the standard articulated in Ward v. Rock Against Racism, 491 U.S. 781, 791 (1989), and Clark v. Community for Creative Non-Violence, 468 U.S. 288, 293 (1984), even content-neutral time, place, and manner restrictions are constitutionally valid only if they are: [content-neutral; narrowly tailored to serve a significant governmental interest; and leave open ample alternative channels].",[],NO_QUOTES,,,fast,,supported,Supported,"Under the standard articulated in Ward v. Rock Against Racism, 491 U.S. 781, 791 (1989), and Clark v. Community for Creative Non-Violence, 468 U.S. 288, 293 (1984), even content-neutral time, place, and manner restrictions are constitutionally valid only if they are: [content-neutral; narrowly tailored to serve a significant governmental interest; and leave open ample alternative channels].",,"Ward supplies exactly this rule at page 791, holding that even in a public forum the government may impose reasonable time, place, or manner restrictions provided they ""are justified without reference to the content of the regulated speech, that they are narrowly tailored to serve a significant governmental interest, and that they leave open ample alternative channels for communication of the information."" The brief's three-element formulation tracks the opinion accurately, and the pinpoint to page 791 is correct.",claude-opus-4-8/assess-v2
sonnet-q3-protest-05,1,"Content-neutral time, place, and manner restrictions are valid only if content-neutral, narrowly tailored to a significant governmental interest, and leaving open ample alternative channels.",,"Clark v. Community for Creative Non-Violence, 468 U.S. 288, 293 (1984)",Clark v. Community for Creative Non-Violence,,Green,https://www.courtlistener.com/opinion/111245/clark-v-community-for-creative-non-violence/,VERIFIED,,opinions/Clark_v_Community_for_Creative_Non-Violence.html,,[],"Under the standard articulated in Ward v. Rock Against Racism, 491 U.S. 781, 791 (1989), and Clark v. Community for Creative Non-Violence, 468 U.S. 288, 293 (1984), even content-neutral time, place, and manner restrictions are constitutionally valid only if they are: [content-neutral; narrowly tailored to serve a significant governmental interest; and leave open ample alternative channels].",[],NO_QUOTES,,,fast,,supported,Supported,"Under the standard articulated in Ward v. Rock Against Racism, 491 U.S. 781, 791 (1989), and Clark v. Community for Creative Non-Violence, 468 U.S. 288, 293 (1984), even content-neutral time, place, and manner restrictions are constitutionally valid only if they are: [content-neutral; narrowly tailored to serve a significant governmental interest; and leave open ample alternative channels].","We have often noted that restrictions of this kind are valid provided that they are justified without reference to the content of the regulated speech, that they are narrowly tailored to serve a significant governmental interest, and that they leave open ample alternative channels for communication of the information.","Clark v. Community for Creative Non-Violence directly supports the proposition: the opinion recites the three-part time, place, and manner standard at the cited page 293, stating that such restrictions are valid only when justified without reference to content (content-neutral), narrowly tailored to serve a significant governmental interest, and leaving open ample alternative channels for communication. The brief's articulation tracks the opinion's holding accurately, and the pinpoint citation to page 293 is correct.",claude-opus-4-8/assess-v2
sonnet-q3-protest-06,1,"A content-based restriction triggers strict scrutiny, and even content-neutral dispersal orders must satisfy each of the three time, place, and manner prongs.",,"Ward v. Rock Against Racism, 491 U.S. 781, 791 (1989)",Ward v. Rock Against Racism,,Green,https://www.courtlistener.com/opinion/112315/ward-v-rock-against-racism/,VERIFIED,,opinions/Ward_v_Rock_Against_Racism.html,,[],"A content-based restriction triggers strict scrutiny and is presumptively unconstitutional. Even content-neutral dispersal orders must satisfy each of these three prongs. Ward, 491 U.S. at 791.",[],NO_QUOTES,,,fast,,supported,Supported,"A content-based restriction triggers strict scrutiny and is presumptively unconstitutional. Even content-neutral dispersal orders must satisfy each of these three prongs. Ward, 491 U.S. at 791.",,"Ward supports both halves of this proposition. The page 791 holding sets out the three-prong content-neutral time, place, and manner test, and footnote 6 confirms that content-based restrictions on political speech ""must be subjected to the most exacting scrutiny,"" which the brief fairly renders as strict scrutiny. The brief's reference to ""dispersal orders"" is its own application context rather than the facts of Ward (a sound-amplification guideline), but the underlying legal standards the brief attributes to the case are stated by the opinion.",claude-opus-4-8/assess-v2
sonnet-q3-protest-07,1,The Fourteenth Amendment does not permit a State to make criminal the peaceful expression of unpopular views.,,"Edwards v. South Carolina, 372 U.S. 229 (1963)",Edwards v. South Carolina,,Green,https://www.courtlistener.com/opinion/106538/edwards-v-south-carolina/,VERIFIED,,opinions/Edwards_v_South_Carolina.html,,"[""The Fourteenth Amendment does not permit a State to make criminal the peaceful expression of unpopular views.""]","The Supreme Court's decision in Edwards v. South Carolina, 372 U.S. 229 (1963), is strikingly on point. [...] The Supreme Court unanimously reversed, holding: ""The Fourteenth Amendment does not permit a State to make criminal the peaceful expression of unpopular views.""","[{""quote"": ""The Fourteenth Amendment does not permit a State to make criminal the peaceful expression of unpopular views."", ""result"": ""VERBATIM"", ""similarity"": 1.0, ""matched_passage"": ""The Fourteenth Amendment does not permit a State to make criminal the peaceful expression of unpopular views. \u201c[A] function of free speech under our system of government is to invite disput""}]",VERBATIM,,,full,,supported,Supported,"The Supreme Court's decision in Edwards v. South Carolina, 372 U.S. 229 (1963), is strikingly on point. [...] The Supreme Court unanimously reversed, holding: ""The Fourteenth Amendment does not permit a State to make criminal the peaceful expression of unpopular views.""",,"The quoted holding appears verbatim in the opinion (""The Fourteenth Amendment does not permit a State to make criminal the peaceful expression of unpopular views.""), and the case did reverse the breach-of-peace convictions of peaceful protesters, so both the quotation and the proposition are accurate.",claude-opus-4-8/assess-v2
sonnet-q3-protest-08,1,"Speech retains First Amendment protection even when it induces unrest or stirs anger, and only a clear and present danger of a serious substantive evil rising far above public inconvenience can justify suppression.",,"Edwards v. South Carolina, 372 U.S. 229, 237 (1963)",Edwards v. South Carolina,,Green,https://www.courtlistener.com/opinion/106538/edwards-v-south-carolina/,VERIFIED,,opinions/Edwards_v_South_Carolina.html,,"[""induces a condition of unrest, creates dissatisfaction with conditions as they are, or even stirs people to anger"", ""clear and present danger of a serious substantive evil"", ""rises far above public inconvenience, annoyance, or unrest""]","The Court stated that speech retains First Amendment protection even when it ""induces a condition of unrest, creates dissatisfaction with conditions as they are, or even stirs people to anger."" Id. at 237 (quoting Terminiello v. City of Chicago, 337 U.S. 1 (1949)). Only a ""clear and present danger of a serious substantive evil"" — one that ""rises far above public inconvenience, annoyance, or unrest"" — can justify suppression of otherwise protected assembly.","[{""quote"": ""induces a condition of unrest, creates dissatisfaction with conditions as they are, or even stirs people to anger"", ""result"": ""VERBATIM"", ""similarity"": 1.0, ""matched_passage"": ""It may indeed best serve its high purpose when it induces a condition of unrest, creates dissatisfaction with conditions as they are, or even stirs people to anger. Speech is often provocative and challenging.""}, {""quote"": ""clear and present danger of a serious substantive evil"", ""result"": ""VERBATIM"", ""similarity"": 1.0, ""matched_passage"": "". protected against censorship or punishment, unless shown likely to produce a clear and present danger of a serious substantive evil that rises far above public inconvenience, annoyance, or unrest. . . .""}, {""quote"": ""rises far above public inconvenience, annoyance, or unrest"", ""result"": ""VERBATIM"", ""similarity"": 1.0, ""matched_passage"": ""likely to produce a clear and present danger of a serious substantive evil that rises far above public inconvenience, annoyance, or unrest. . . .""}]",VERBATIM,,,full,,supported,Supported,"The Court stated that speech retains First Amendment protection even when it ""induces a condition of unrest, creates dissatisfaction with conditions as they are, or even stirs people to anger."" Id. at 237 (quoting Terminiello v. City of Chicago, 337 U.S. 1 (1949)). Only a ""clear and present danger of a serious substantive evil"" — one that ""rises far above public inconvenience, annoyance, or unrest"" — can justify suppression of otherwise protected assembly.",,"All three quoted phrases appear verbatim in Edwards, which quotes Terminiello v. Chicago for exactly this standard, and the brief accurately attributes the language to that quotation; the proposition that speech retains protection absent a clear and present danger of a serious substantive evil rising far above public inconvenience is squarely supported.",claude-opus-4-8/assess-v2
sonnet-q3-protest-09,1,"Speech retains First Amendment protection even when it induces a condition of unrest, creates dissatisfaction, or stirs people to anger.","Speech retains First Amendment protection even when it induces a condition of unrest, creates dissatisfaction with conditions as they are, or even stirs people to anger.","Terminiello v. City of Chicago, 337 U.S. 1 (1949)",Terminiello v. Chicago,,Green,https://www.courtlistener.com/opinion/104668/terminiello-v-chicago/,VERIFIED,,opinions/Terminiello_v_Chicago.html,,"[""induces a condition of unrest, creates dissatisfaction with conditions as they are, or even stirs people to anger""]","The Court stated that speech retains First Amendment protection even when it ""induces a condition of unrest, creates dissatisfaction with conditions as they are, or even stirs people to anger."" Id. at 237 (quoting Terminiello v. City of Chicago, 337 U.S. 1 (1949)).","[{""quote"": ""induces a condition of unrest, creates dissatisfaction with conditions as they are, or even stirs people to anger"", ""result"": ""VERBATIM"", ""similarity"": 1.0, ""matched_passage"": ""It may indeed best serve its high purpose when it induces a condition of unrest, creates dissatisfaction with conditions as they are, or even stirs people to anger. Speech is often provocative and challenging.""}]",VERBATIM,,,full,,supported,Supported,"The Court stated that speech retains First Amendment protection even when it ""induces a condition of unrest, creates dissatisfaction with conditions as they are, or even stirs people to anger."" Id. at 237 (quoting Terminiello v. City of Chicago, 337 U.S. 1 (1949)).",,"Terminiello v. Chicago is the source of this exact language, and the cited proposition tracks the opinion's holding. Justice Douglas wrote that ""a function of free speech under our system of government is to invite dispute,"" and that speech ""may indeed best serve its high purpose when it induces a condition of unrest, creates dissatisfaction with conditions as they are, or even stirs people to anger,"" remaining ""protected against censorship or punishment, unless shown likely to produce a clear and present danger of a serious substantive evil that rises far above public inconvenience, annoyance, or unrest."" The quoted phrase appears verbatim in the opinion and is used for the precise proposition the brief attributes to it.",claude-opus-4-8/assess-v2
sonnet-q3-protest-10,1,"Peaceful demonstrators' own conduct cannot form the basis of a criminal conviction, even where hostile bystanders threw rocks and eggs and police feared a riot.",,"Gregory v. City of Chicago, 394 U.S. 111 (1969)",Gregory v. City of Chicago,,Green,https://www.courtlistener.com/opinion/107869/gregory-v-city-of-chicago/,VERIFIED,,opinions/Gregory_v_City_of_Chicago.html,,[],"Similarly, in Gregory v. City of Chicago, 394 U.S. 111 (1969), the Supreme Court unanimously reversed disorderly conduct convictions of peaceful civil rights protesters in Chicago who marched to Mayor Daley's home, even though hostile bystanders threw rocks and eggs and police feared an imminent riot. The Court held that the demonstrators' own peaceful conduct could not form the basis of a criminal conviction.",[],NO_QUOTES,,,fast,,supported,Supported,"Similarly, in Gregory v. City of Chicago, 394 U.S. 111 (1969), the Supreme Court unanimously reversed disorderly conduct convictions of peaceful civil rights protesters in Chicago who marched to Mayor Daley's home, even though hostile bystanders threw rocks and eggs and police feared an imminent riot. The Court held that the demonstrators' own peaceful conduct could not form the basis of a criminal conviction.","Petitioners' march, if peaceful and orderly, falls well within the sphere of conduct protected by the First Amendment. . . . There is no evidence in this record that petitioners' conduct was disorderly. . . . the onlookers became unruly as the number of bystanders increased.","Gregory v. City of Chicago reverses the disorderly-conduct convictions of peaceful civil-rights marchers, holding that petitioners' march, if peaceful and orderly, falls well within the sphere of First Amendment protection and that there was no evidence in the record that their conduct was disorderly. That directly supports the proposition that peaceful demonstrators' own conduct cannot supply the basis for a criminal conviction even where police feared disorder.

The opinion describes the crowd only as onlookers who became unruly; it does not say bystanders threw rocks and eggs, so that factual detail in the brief is not drawn from this opinion. It does not undermine the legal point the case is cited for.",claude-opus-4-8/assess-v2
