claim_id,scale,expected,exists,hedged,notes,provenance
withers-01,withers_exhibit,green,Yes,no,"The citation should include ""See"" as an introductory signal, but the case does broadly stand for the proposition stated.",exhibit1_doc112-1.pdf via withers_aberdeen_corpus.csv
withers-02,withers_exhibit,green,Yes,no,"The citation should include ""See"" as an introductory signal, but the case does broadly stand for the proposition stated. Note this is a similar, but not identical, filing as Doc. 48. For this reason, we included it as a separate entry.",exhibit1_doc112-1.pdf via withers_aberdeen_corpus.csv
withers-03,withers_exhibit,green,Yes,no,None.,exhibit1_doc112-1.pdf via withers_aberdeen_corpus.csv
withers-04,withers_exhibit,yellow,Yes,no,"The citation does provide the quotation: ""inadvertence, ignorance of the rules, or mistakes construing the rules do not usually constitute excusable neglect."" It does not, however, contain the initial quoted language: ""the excusable neglect standard is a strict one,"" although it can be argued the case generally supports the proposition. Furthermore, additional Fifth Circuit citations provide the correct quotation. See Birl v. Estelle, 660 F.2d 592, 593 (5th Cir. 1981).",exhibit1_doc112-1.pdf via withers_aberdeen_corpus.csv
withers-05,withers_exhibit,yellow,Yes,no,The court's holding was slightly narrower than the stated proposition. It held the party's failure to file a Fed. R. Civ. P. 4(a)(1) notice of appeal on time was not excusable neglect because counsel could have determined the correct opt-out date on their own accord. See id. at 472-73.,exhibit1_doc112-1.pdf via withers_aberdeen_corpus.csv
withers-06,withers_exhibit,yellow,Yes,no,"This case did not involve a pro se litigant or the prison mailbox rule. Rather, the issue was whether the appellant's counsel's receipt of a written facsimile copy of judgment was sufficient to start the 7-day clock for appeal, even if not served by mail from the court in strict compliance with Fed. R. Civ. P. 77(d). See id. at 333-34.",exhibit1_doc112-1.pdf via withers_aberdeen_corpus.csv
withers-07,withers_exhibit,green,Yes,no,None.,exhibit1_doc112-1.pdf via withers_aberdeen_corpus.csv
withers-08,withers_exhibit,green,Yes,no,None.,exhibit1_doc112-1.pdf via withers_aberdeen_corpus.csv
withers-09,withers_exhibit,yellow,Yes,no,"Although the case does not mention ""judicial admissions"" in those words, it does support the proposition admissions are binding and cannot be rebutted by contrary testimony.",exhibit1_doc112-1.pdf via withers_aberdeen_corpus.csv
withers-10,withers_exhibit,yellow,Yes,no,The case cited does not include the quotation provided.,exhibit1_doc112-1.pdf via withers_aberdeen_corpus.csv
withers-11,withers_exhibit,green,Yes,no,None.,exhibit1_doc112-1.pdf via withers_aberdeen_corpus.csv
withers-12,withers_exhibit,yellow,Yes,no,"This case discusses a trial court's decision to permit the withdrawal or amendment of an admission, rather than failure to timely serve admissions and does not address the issue in light of the summary judgment standard. See id. at 1119-20. However, it does stand for the proposition admissions are binding and cannot be rebutted by contrary testimony.",exhibit1_doc112-1.pdf via withers_aberdeen_corpus.csv
withers-13,withers_exhibit,yellow,Yes,no,"This is a Second, not Fifth Circuit case. However, this case does support the proposition that summary judgment may stand where a party who is issued requests for admission fails to timely respond. (3) The cited quote is not present in the case.",exhibit1_doc112-1.pdf via withers_aberdeen_corpus.csv
withers-14,withers_exhibit,yellow,Yes,no,"Although it is unclear what is meant by a ""judicial admission,"" this case does support the proposition that summary judgment may stand where a party who is issued requests for admission fails to timely respond or move to withdraw or amend their deemed responses. (3) The cited quote is not present in the case. (4) This proposition is not supported by this case. (5) The case does not discuss Rule 36's ""efficiencies"" or prejudice to a party for failure to obtain discovery on a sensible schedule. However, it does broadly support strict compliance with Rule 36 and similar rules.",exhibit1_doc112-1.pdf via withers_aberdeen_corpus.csv
withers-15,withers_exhibit,green,Yes,no,"None. Celotex establishes the general rule that the admissions on file, along with other evidence, may support a holding there is no genuine issue of material fact for summary judgment purposes.",exhibit1_doc112-1.pdf via withers_aberdeen_corpus.csv
withers-16,withers_exhibit,green,Yes,no,"None. Anderson reiterates the Celotex rule that the admissions on file, along with other evidence, may support a holding there is no genuine issue of material fact for summary judgment purposes.",exhibit1_doc112-1.pdf via withers_aberdeen_corpus.csv
withers-17,withers_exhibit,green,Yes,no,None.,exhibit1_doc112-1.pdf via withers_aberdeen_corpus.csv
