page,proposition,cited_case,retrieved_case,supporting_language,assessment,cl_url,cl_status,diagnostics,opinion_file,quoted_text,quote_check,quote_check_worst
5,"The district court's fee award is excessive, causally untethered, and unsupported by line-item findings, violating the Fifth Circuit's mandate in Vaughan.","Vaughan v. Lewisville Indep. Sch. Dist., 62 F.4th 199, 207 (5th Cir. 2023)",Vaughan v. Lewisville Indep Sch Dist,"Vaughan requires fees tied to sanctionable conduct (""only those fees and costs associated with the persistent prosecution of a meritless claim""), but does not use ""causally untethered"" or mandate ""line-item findings."" Proposition overstates specificity.",Yellow,https://www.courtlistener.com/opinion/9382860/vaughan-v-lewisville-indep-sch-dist/,VERIFIED,,opinions/Vaughan_v_Lewisville_Indep_Sch_Dist.html,[],[],NO_QUOTES
6,"The sanctions order violates Rule 11(c)(2), rests on post hoc justification barred by Fox and Cooter, and awards fees without causation segregation required by Vaughan.","Fox v. Vice, 563 U.S. 826 (2011)",Fox v. Vice,Partially supports: Fox establishes but-for causation standard for fee awards but does not address Rule 11(c)(2) procedure or post hoc justification. Proposition bundles multiple holdings and overstates what Fox stands for.,Yellow,https://www.courtlistener.com/opinion/218177/fox-v-vice/,VERIFIED,,opinions/Fox_v_Vice.html,[],[],NO_QUOTES
6,"The sanctions order violates Rule 11(c)(2), rests on post hoc justification barred by Fox and Cooter, and awards fees without causation segregation required by Vaughan.","Cooter & Gell v. Hartmarx Corp., 496 U.S. 384 (1990)",Cooter & Gell v. Hartmarx Corp.,"Cooter & Gell discusses plausibility at time of filing and states ""Rule 11 is not a fee-shifting statute,"" but does NOT use ""post hoc justification"" or cite Fox v. Vice. Proposition conflates doctrines.",Yellow,https://www.courtlistener.com/opinion/112457/cooter-gell-v-hartmarx-corp/,VERIFIED,,opinions/Cooter_Gell_v_Hartmarx_Corp.html,[],[],NO_QUOTES
6,"The sanctions order violates Rule 11(c)(2), rests on post hoc justification barred by Fox and Cooter, and awards fees without causation segregation required by Vaughan.","Vaughan v. Lewisville Indep. Sch. Dist., 62 F.4th 199 (5th Cir. 2023)",Vaughan v. Lewisville Indep Sch Dist,"Vaughan supports causation-linked fees but does not discuss Rule 11(c)(2), Fox, Cooter, or use ""causation segregation."" Proposition bundles multiple holdings and attributes requirements Vaughan does not contain.",Yellow,https://www.courtlistener.com/opinion/9382860/vaughan-v-lewisville-indep-sch-dist/,VERIFIED,,opinions/Vaughan_v_Lewisville_Indep_Sch_Dist.html,[],[],NO_QUOTES
7,The Fifth Circuit has cautioned that sanctions must not deter legitimate advocacy.,"Coghlan v. Starkey, 852 F.2d 806, 809 (5th Cir. 1988)",Coghlan v. Starkey,"Coghlan discusses deterrence concerns generally but does NOT explicitly state ""sanctions must not deter legitimate advocacy."" Proposition overstates what the case says.",Yellow,https://www.courtlistener.com/opinion/8971182/coghlan-v-starkey/,VERIFIED,,opinions/Coghlan_v_Starkey.html,[],[],NO_QUOTES
8,"While Rule 11 and § 1927 sanctions are generally reviewed for abuse of discretion, sanctions imposed sua sponte without notice or hearing implicate due process and are reviewed de novo.","Edwards v. Gen. Motors Corp., 153 F.3d 242, 246 (5th Cir. 1998)",Edwards v. General Motors Corp.,"The opinion states the OPPOSITE: ""We review the ruling only for abuse of discretion."" Sanctions were not sua sponte (GM moved for fees), and there WAS a hearing. Fabricates a de novo review standard that does not exist in this case.",Red,https://www.courtlistener.com/opinion/15646/edwards-v-general-motors-corp/,VERIFIED,,opinions/Edwards_v_General_Motors_Corp.html,[],[],NO_QUOTES
9,"Experian cites Morrison, which involved repeated filings after dispositive rulings and a clear record of delay.","Morrison v. Walker, 939 F.3d 633, 636–37 (5th Cir. 2019)",Stella Morrison v. Layne Walker,"Morrison confirms repeated filings (""he repeatedly made filings based only on the meritless falsified-perjury claim"") but does NOT use ""dispositive rulings"" or ""clear record of delay."" Brief adds fabricated characterizations.",Yellow,https://www.courtlistener.com/opinion/4666039/stella-morrison-v-layne-walker/,VERIFIED,,opinions/Stella_Morrison_v_Layne_Walker.html,[],[],NO_QUOTES
9,"The statute applies only to conduct prolonging litigation after it has begun. It does not reach the filing of a single, non-frivolous pleading supported by evidence.","Peterson v. BMI Refractories, 124 F.3d 1386, 1396 (11th Cir. 1997)",Peterson v. BMI Refractories,Peterson discusses 1927 but the specific language about applying only to post-filing conduct and not reaching single non-frivolous pleadings was not found. May reflect general thrust but formulation unconfirmed.,Yellow,https://www.courtlistener.com/opinion/72255/peterson-v-bmi-refractories/,VERIFIED,,opinions/Peterson_v_BMI_Refractories.html,[],[],NO_QUOTES
9,"Sanctions are an extraordinary remedy, reserved for conduct that is both objectively unreasonable and undertaken in bad faith.","Morrison v. Walker, 939 F.3d 633, 637 (5th Cir. 2019)",Stella Morrison v. Layne Walker,"Morrison does NOT characterize sanctions as an ""extraordinary remedy."" Uses ""reckless disregard"" standard, not ""bad faith"" as stated. Brief misrepresents the legal standard.",Red,https://www.courtlistener.com/opinion/4666039/stella-morrison-v-layne-walker/,VERIFIED,,opinions/Stella_Morrison_v_Layne_Walker.html,[],[],NO_QUOTES
10,"Bridgecrest cites Morrison to justify sanctions, but Morrison involved repeated filings after dispositive rulings.","Morrison v. Walker, 939 F.3d 633, 637 (5th Cir. 2019)",Stella Morrison v. Layne Walker,"Morrison confirms repeated filings but ""dispositive rulings"" is language not found in the opinion. Brief embellishes beyond what Morrison describes.",Yellow,https://www.courtlistener.com/opinion/4666039/stella-morrison-v-layne-walker/,VERIFIED,,opinions/Stella_Morrison_v_Layne_Walker.html,[],[],NO_QUOTES
