page,proposition,cited_case,retrieved_case,supporting_language,assessment,cl_url,cl_status,diagnostics,user_action,opinion_file
2,"Judicial review under the APA is limited to the administrative record already in existence, not some new record made initially in the reviewing court.","Camp v. Pitts, 411 U.S. 138, 142 (1973)",,"(1) Supports: ""In applying that standard, the focal point for judicial review should be the administrative record already in existence, not some new record made initially in the reviewing court."" (411 U.S. at 142) — near-verbatim match to the proposition.",Green — direct and accurate quotation from the opinion at the correct pinpoint cite. Central holding of the case regarding scope of judicial review.,https://www.courtlistener.com/opinion/108752/camp-v-pitts/,VERIFIED,,,opinions/camp-v-pitts.txt
2,"Courts must assess agency action based on the materials actually considered by the agency, rejecting de novo review.","Citizens to Preserve Overton Park, Inc. v. Volpe, 401 U.S. 402, 420 (1971)",,"(1) Supports: ""That review is to be based on the full administrative record that was before the Secretary at the time he made his decision."" (p. 420) (2) Supports: ""Even though there is no de novo review in this case and the Secretary's approval of the route of I-40 does not have ultimately to meet the substantial-evidence test, the generally applicable standards of Section 706 require the reviewing court to engage in a substantial inquiry."" (p. 415) (3) Supports: Court explicitly rejects de novo review and limits factfinding to the materials before the agency.",Green — opinion directly states at page 420 that review must be based on the full administrative record and explicitly rejects de novo review.,https://www.courtlistener.com/opinion/108283/citizens-to-preserve-overton-park-inc-v-volpe/,VERIFIED,,,opinions/citizens-to-preserve-overton-park-v-volpe.txt
2-3,APA review is limited to the administrative record that was before the agency at the time of its decision.,"Ohio Valley Envtl. Coal. v. Aracoma Coal Co., 556 F.3d 177, 201 (4th Cir. 2009)",,"(1) Supports: ""While review of agency action is typically limited to the administrative record that was available to the agency at the time of its decision"" (at *201) (2) Partially supports: Court immediately qualifies this by explaining NEPA cases are an exception where courts are ""generally willing to look outside the record.""",Yellow — the opinion states the general rule but immediately qualifies it with a NEPA exception. At pinpoint 201 the court is actually explaining why extra-record evidence IS permissible in NEPA cases. Using this cite for the unqualified proposition is somewhat misleading.,https://www.courtlistener.com/opinion/1027825/ohio-valley-environmental-coalition-v-aracoma-coal-co/,VERIFIED,,,opinions/ohio-valley-v-aracoma-coal.txt
3,Agency actions are entitled to a presumption of regularity.,"Citizens to Preserve Overton Park, Inc. v. Volpe, 401 U.S. 402, 415 (1971)",,"(1) Supports: ""Certainly, the Secretary's decision is entitled to a presumption of regularity."" (p. 415) (2) Partially supports: Court immediately qualifies — ""But that presumption is not to shield his action from a thorough, probing, in-depth review."" (p. 415)",Yellow — opinion does state the presumption of regularity but immediately and emphatically qualifies it. Overton Park is famous for establishing that judicial review must be searching and careful. Citation is technically accurate but potentially misleading if used to suggest strong deference.,https://www.courtlistener.com/opinion/108283/citizens-to-preserve-overton-park-inc-v-volpe/,VERIFIED,,,opinions/citizens-to-preserve-overton-park-v-volpe.txt
3,Efforts to rely on extra-record materials should be rejected where plaintiffs failed to overcome the presumption that the record was complete.,"Ohio Valley Envtl. Coal. v. Aracoma Coal Co., 556 F.3d 177, 201 (4th Cir. 2009)",,"(1) Addresses different issue: Opinion at *201 discusses extra-record evidence in NEPA context and does NOT frame it in terms of a ""presumption that the record was complete."" (2) Addresses different issue: Court actually holds extra-record evidence IS appropriate in NEPA cases but limits how it may be used — cannot substitute plaintiff expert judgment for agency expert judgment.",Red — the opinion at page 201 never uses the phrase ""presumption that the record was complete"" or equivalent. The court did not reject efforts to rely on extra-record materials; it accepted them as appropriate in NEPA cases but limited their use. Proposition mischaracterizes the holding.,https://www.courtlistener.com/opinion/1027825/ohio-valley-environmental-coalition-v-aracoma-coal-co/,VERIFIED,,,opinions/ohio-valley-v-aracoma-coal.txt
4,Extra-record inquiry is allowed only upon a strong showing of bad faith or improper behavior.,"Citizens to Preserve Overton Park, Inc. v. Volpe, 401 U.S. 402, 420 (1971)",,"(1) Partially supports: ""And where there are administrative findings that were made at the same time as the decision, as was the case in Morgan, there must be a strong showing of bad faith or improper behavior before such inquiry may be made."" (p. 420) (2) Addresses different issue: Court distinguishes this case (no formal findings) from Morgan — when no formal findings exist, examining decisionmakers may be necessary without requiring a bad faith showing.",Yellow — the ""strong showing of bad faith"" language does appear at page 420 but applies specifically to the Morgan scenario where formal findings exist. The opinion explicitly distinguishes situations where no findings were made. Proposition overstates by presenting this as a blanket rule for all extra-record inquiry.,https://www.courtlistener.com/opinion/108283/citizens-to-preserve-overton-park-inc-v-volpe/,VERIFIED,,,opinions/citizens-to-preserve-overton-park-v-volpe.txt
4,Denial of extra-record evidence affirmed where plaintiffs sought to challenge the agency's reasoning rather than the completeness of the record.,"Dow AgroSciences LLC v. National Marine Fisheries Service, 637 F.3d 259, 268-69 (4th Cir. 2011)",,"(1) Addresses different issue: The entire opinion concerns whether a biological opinion issued by NMFS is subject to judicial review under the APA — specifically jurisdiction and ripeness — not extra-record evidence. (2) Addresses different issue: The district court dismissed for lack of jurisdiction; there was no ruling on extra-record evidence.",Red — this opinion does not address extra-record evidence at all. The case is entirely about subject-matter jurisdiction (APA reviewability of a BiOp) and ripeness. The proposition is wholly unsupported by this case.,https://www.courtlistener.com/opinion/205823/dow-agrosciences-llc-v-national-marine-fisheries-service/,VERIFIED,,,opinions/dow-agrosciences-v-nmfs.txt
4-5,Extra-record evidence is not permitted merely because plaintiffs believe additional materials would be helpful.,"Sierra Club v. U.S. Department of the Interior, 899 F.3d 260, 295-96 (4th Cir. 2018)",,"(1) Addresses different issue: The entire opinion concerns ESA Incidental Take Statement habitat surrogates and NPS right-of-way permits for the Atlantic Coast Pipeline. Contains zero discussion of extra-record evidence, administrative record limitations, or supplemental materials. Pages 295-96 correspond to statute of limitations analysis and ESA discussion.",Red — the cited opinion does not address the stated proposition at all. The case has nothing to do with admissibility of extra-record evidence. This citation is misleading — it invokes a real case for a legal proposition the case simply does not discuss.,https://www.courtlistener.com/opinion/4524080/sierra-club-v-us-dept-of-the-interior/,VERIFIED,,,opinions/sierra-club-v-dept-of-interior.txt
5,Mere allegations or assumptions about what the agency must have considered do not rebut the presumption of completeness.,"Ohio Valley Envtl. Coal. v. Aracoma Coal Co., 556 F.3d 177, 201 (4th Cir. 2009)",,"(1) Addresses different issue: Opinion at *201 contains no discussion of a ""presumption of completeness"" or ""mere allegations or assumptions about what the agency must have considered."" (2) Addresses different issue: Discussion at page 201 concerns scope of extra-record evidence in NEPA cases and deference to agency methodology.",Red — the opinion nowhere discusses a ""presumption of completeness"" of the administrative record. This proposition imports language and concepts from other cases not found in this opinion.,https://www.courtlistener.com/opinion/1027825/ohio-valley-environmental-coalition-v-aracoma-coal-co/,VERIFIED,,,opinions/ohio-valley-v-aracoma-coal.txt
5-6,Speculation that additional documents may exist does not justify supplementation.,"Ohio Valley Envtl. Coal. v. Aracoma Coal Co., 556 F.3d 177, 201 (4th Cir. 2009)",,"(1) Addresses different issue: Opinion at *201 contains no discussion of ""speculation that additional documents may exist"" or ""supplementation"" of the administrative record. Focus is on proper role of expert testimony in reviewing agency environmental assessments.",Red — not supported by the opinion at the cited pinpoint or anywhere else. The case does not discuss supplementation of the administrative record or speculation about missing documents.,https://www.courtlistener.com/opinion/1027825/ohio-valley-environmental-coalition-v-aracoma-coal-co/,VERIFIED,,,opinions/ohio-valley-v-aracoma-coal.txt
