claim_id,page,proposition,cited_for,cited_case,retrieved_case,supporting_language,assessment,cl_url,cl_status,diagnostics,opinion_file,syllabus,quoted_text,brief_sentence,quote_check,quote_check_worst,quote_floor,crosscheck_flags,triage_track,prescreen_hint,support,badge_label,brief_block,opinion_block,finding_analysis,assessed_by
payne-01,12,"To prevail on an ineffective assistance of counsel claim, a defendant must satisfy a two-prong test of deficient performance and prejudice.",,"Strickland v. Washington, 466 U.S. 668 (1984)",Strickland v. Washington,,Green,https://www.courtlistener.com/opinion/111170/strickland-v-washington/,VERIFIED,,opinions/Strickland_v_Washington.html,,[],"To prevail on a claim of ineffective assistance of counsel, a defendant must satisfy the two-prong test set forth in Strickland v. Washington, 466 U.S. 668 (1984), adopted by Georgia courts in Reynolds v. State, 306 Ga. 630 (2019).",[],NO_QUOTES,,,fast,,supported,Supported,"To prevail on a claim of ineffective assistance of counsel, a defendant must satisfy the two-prong test set forth in Strickland v. Washington, 466 U.S. 668 (1984) [...].","First, the defendant must show that counsel's performance was deficient. [...] Second, the defendant must show that the deficient performance prejudiced the defense. [...] Unless a defendant makes both showings, it cannot be said that the conviction or death sentence resulted from a breakdown in the adversary process that renders the result unreliable.","Strickland squarely supports this proposition. The Court holds that an ineffective-assistance claim has two components -- deficient performance and prejudice -- and that the defendant must make both showings, which is exactly the two-prong test the brief describes.",claude-opus-4-8/assess-v2
payne-02,12,Georgia courts adopted the Strickland two-prong test for ineffective assistance of counsel claims.,,"Reynolds v. State, 306 Ga. 630 (2019)",State v. Mondor,,Gray,https://www.courtlistener.com/opinion/7479879/state-v-mondor/,NOT_FOUND,"Party mismatch: found ""State v. Mondor"" shares only one party with cited ""Reynolds v. State""; Name mismatch: cited ""Reynolds v. State"" vs found ""State v. Mondor""; Citation mismatch: cited 306 Ga. 630 but CourtListener has 830 S.E.2d 206 306 Ga. 338",opinions/Black_v_State.html,,[],"To prevail on a claim of ineffective assistance of counsel, a defendant must satisfy the two-prong test set forth in Strickland v. Washington, 466 U.S. 668 (1984), adopted by Georgia courts in Reynolds v. State, 306 Ga. 630 (2019).",[],NO_QUOTES,,,full,,unsupported,Citation resolves to different case,"To prevail on a claim of ineffective assistance of counsel, a defendant must satisfy the two-prong test set forth in Strickland v. Washington, 466 U.S. 668 (1984), adopted by Georgia courts in Reynolds v. State, 306 Ga. 630 (2019).",,"The brief cites Reynolds v. State, 306 Ga. 630 (2019), but the opinion on file is Black v. State, 264 Ga. 550 (1994) -- a different case. The proposition cannot be grounded in the cited authority because the citation resolves to a different opinion. As an aside, the Black opinion does apply the Strickland two-prong framework, requiring a defendant to show that ""counsel's performance was deficient"" and ""that the deficient performance prejudiced the defense,"" so the underlying legal principle is sound; but Black is not the case the brief invokes for the proposition that Georgia courts adopted Strickland, and nothing in this opinion establishes that Reynolds did so.",claude-opus-4-8/assess-v2
payne-03,13,A valid citizen's arrest must occur immediately and without delay.,,"Harbuck v. State, 288 Ga. 768 (2011)",State v. Rozier,,,https://www.courtlistener.com/opinion/2112294/state-v-rozier/,WRONG_CASE,no party-overlap across cluster/docket/opinion sources,opinions/Black_v_State.html,,[],"Additionally, Georgia courts have made it clear that a valid citizen's arrest must occur immediately and without delay. (Harbuck v. State, 288 Ga. 768 (2011)).",[],NO_QUOTES,,,,,,,,,,
payne-04,13,The failure to request a jury instruction not supported by the evidence does not constitute deficient performance.,,"Reed v. State, 291 Ga. 10 (2012)",Reed v. State,,Red,https://www.courtlistener.com/opinion/2506728/reed-v-state/,VERIFIED,,opinions/Reed_v_State.html,,[],"Georgia law is clear that the failure to request a jury instruction not supported by the evidence does not constitute deficient performance. (Reed v. State, 291 Ga. 10 (2012); Davis v. State, 285 Ga. 343 (2009).)",[],NO_QUOTES,,,fast,,unsupported,Not supported by cited case,"Georgia law is clear that the failure to request a jury instruction not supported by the evidence does not constitute deficient performance. (Reed v. State, 291 Ga. 10 (2012); Davis v. State, 285 Ga. 343 (2009).)",,"Reed v. State is a Georgia Supreme Court murder case addressing sufficiency of the evidence, sufficiency of the indictment, the standard of review for similar transaction evidence, and ineffective assistance of counsel. It does not address the failure to request a jury instruction. The opinion's ineffective-assistance discussion under Strickland reaches only two grounds -- counsel's failure to challenge the indictment by special demurrer (Division 4(a)) and counsel's failure to object and move for mistrial in response to improper closing arguments about future dangerousness (Division 4(b)). Neither jury instructions in general nor the specific principle that failing to request an instruction unsupported by the evidence is not deficient performance appears anywhere in the opinion. The brief attributes a jury-instruction rule to Reed that the case does not contain.",claude-opus-4-8/assess-v2
payne-05,13,The failure to request a jury instruction not supported by the evidence does not constitute deficient performance.,,"Davis v. State, 285 Ga. 343 (2009)",Davis v. State,,Gray,https://www.courtlistener.com/opinion/1322724/davis-v-state/,VERIFIED,,opinions/Davis_v_State.html,,[],"Georgia law is clear that the failure to request a jury instruction not supported by the evidence does not constitute deficient performance. (Reed v. State, 291 Ga. 10 (2012); Davis v. State, 285 Ga. 343 (2009).)",[],NO_QUOTES,,"{""toa_mismatch"": {""variants"": [""Davis v. State, 285 Ga. 343 (2009)"", ""Davis v. State, 269 Ga. 276, 277 (1998)""]}}",full,,unverifiable,Citation resolves to different case,"Georgia law is clear that the failure to request a jury instruction not supported by the evidence does not constitute deficient performance. (Reed v. State, 291 Ga. 10 (2012); Davis v. State, 285 Ga. 343 (2009).)",,"The brief cites Davis v. State, 285 Ga. 343 (2009), but the opinion provided resolves to a different decision: Davis v. State, 269 Ga. 276 (1998), a Benham, C.J. opinion affirming a felony-murder conviction (stabbing death of Danny Reid), with page markers running *277 through *281 and a crime date of 1993. The 285 Ga. 343 (2009) decision is not the document supplied. Because the cited case is not before me, I cannot ground a judgment on whether it supports the deficient-performance proposition. The 1998 opinion in hand does discuss the refusal to give a requested accident charge for lack of supporting evidence (Division 3), but it is a trial-court-error analysis, not an ineffective-assistance/deficient-performance holding, and in any event it is the wrong case.",claude-opus-4-8/assess-v2
payne-06,13,Tactical and strategic decisions do not constitute ineffective assistance unless no competent attorney would have made the same choice.,,"Head v. Ferrell, 274 Ga. 399 (2001)",Head v. Ferrell,,Yellow,https://www.courtlistener.com/opinion/1323520/head-v-ferrell/,VERIFIED,,opinions/Head_v_Ferrell.html,,[],"Tactical and strategic decisions do not constitute ineffective assistance unless no competent attorney would have made the same choice. (Head v. Ferrell, 274 Ga. 399 (2001); Rumph v. State, 307 Ga. 477 (2019)).",[],NO_QUOTES,,,fast,,partial,Overstated -- case partially supports,"Tactical and strategic decisions do not constitute ineffective assistance unless no competent attorney would have made the same choice. (Head v. Ferrell, 274 Ga. 399 (2001); Rumph v. State, 307 Ga. 477 (2019)).","[C]ounsel on appeal is ""strongly presumed to have rendered adequate assistance and made all significant decisions in the exercise of reasonable professional judgment."" . . . Because counsel's performance is considered in light of the circumstances surrounding the representation, reference to hindsight is inappropriate in judging counsel's performance.","Head v. Ferrell applies the Strickland framework and gives strong deference to counsel's strategic decisions, holding that counsel is strongly presumed to have exercised reasonable professional judgment and that hindsight is inappropriate. That general principle is consistent with the brief's point. But the opinion never articulates the specific standard the brief attributes to it -- that a tactical decision constitutes ineffective assistance only when ""no competent attorney would have made the same choice."" The case states the deferential presumption and rejects the ineffectiveness claims on the facts; it does not announce the categorical ""no competent attorney"" test. The proposition is therefore an overstatement of what this opinion actually holds, even though it is in the same doctrinal territory.",claude-opus-4-8/assess-v2
payne-07,13,Tactical and strategic decisions do not constitute ineffective assistance unless no competent attorney would have made the same choice.,,"Rumph v. State, 307 Ga. 477 (2019)",State v. Rumph,,Red,https://www.courtlistener.com/opinion/10366942/state-v-rumph/,VERIFIED,"Brief caption ""Rumph v. State"" differs from CL caption ""State v. Rumph"" but party-overlap confirms it is the same case.; party-overlap match via cluster_case_name",opinions/State_v_Rumph.html,,[],"Tactical and strategic decisions do not constitute ineffective assistance unless no competent attorney would have made the same choice. (Head v. Ferrell, 274 Ga. 399 (2001); Rumph v. State, 307 Ga. 477 (2019)).",[],NO_QUOTES,,,fast,,unsupported,Case on unrelated subject,"Tactical and strategic decisions do not constitute ineffective assistance unless no competent attorney would have made the same choice. (Head v. Ferrell, 274 Ga. 399 (2001); Rumph v. State, 307 Ga. 477 (2019)).",,"State v. Rumph is a criminal procedure case about whether Miranda warnings were required for a defendant's pre-arrest statements. It does not address ineffective assistance of counsel or the deference owed to defense counsel's tactical and strategic decisions. The opinion's sole holding is that, because a reasonable person in Rumph's situation would not have perceived that he was in custody during his first two interviews, Miranda warnings were not necessary, and the trial court erred in suppressing the statements. Nothing in the opinion discusses Strickland, ineffective assistance, or the ""no competent attorney"" standard the brief attributes to the case.",claude-opus-4-8/assess-v2
payne-08,13,Georgia courts have routinely declined to find prejudice where the omitted instruction was factually or legally unsupported.,,"Jones v. State, 283 Ga. 155 (2008)",Moore v. State,,,https://www.courtlistener.com/opinion/1208630/moore-v-state/,WRONG_CASE,no party-overlap across cluster/docket/opinion sources,opinions/Black_v_State.html,,[],"Courts in Georgia have routinely declined to find prejudice where the omitted instruction was factually or legally unsupported. (Jones v. State, 283 Ga. 155 (2008); Hughes v. State, 269 Ga. App. 242 (2004)).",[],NO_QUOTES,,"{""toa_mismatch"": {""variants"": [""Jones v. State, 283 Ga. 155 (2008)"", ""Jones v. State, 296 Ga. 561, 567 (769 SE2d 307) (2015)""]}}",,,,,,,,
payne-09,13,Georgia courts have routinely declined to find prejudice where the omitted instruction was factually or legally unsupported.,,"Hughes v. State, 269 Ga. App. 242 (2004)",Bravo v. State,,,https://www.courtlistener.com/opinion/1324101/bravo-v-state/,WRONG_CASE,no party-overlap across cluster/docket/opinion sources,opinions/Black_v_State.html,,[],"Courts in Georgia have routinely declined to find prejudice where the omitted instruction was factually or legally unsupported. (Jones v. State, 283 Ga. 155 (2008); Hughes v. State, 269 Ga. App. 242 (2004)).",[],NO_QUOTES,,,,,,,,,,
payne-10,15,Justification is an affirmative defense that does not require a charge on citizen's arrest unless the facts specifically support that additional theory.,,"Manzano v. State, 282 Ga. 557 (2007)",Manzano v. State,,Red,https://www.courtlistener.com/opinion/1387492/manzano-v-state/,VERIFIED,,opinions/Manzano_v_State.html,,[],"Justification is an affirmative defense that includes the lawful use of force in defense of self, others, or property—and does not require a charge on citizen's arrest unless the facts specifically support that additional theory. (See, e.g., Manzano v. State, 282 Ga. 557 (2007)).",[],NO_QUOTES,,,fast,,unsupported,Case on unrelated subject,"Justification is an affirmative defense that includes the lawful use of force in defense of self, others, or property—and does not require a charge on citizen's arrest unless the facts specifically support that additional theory. (See, e.g., Manzano v. State, 282 Ga. 557 (2007)).",,"Manzano v. State is a felony-murder case about whether the trial court erred in refusing to charge the jury on involuntary manslaughter (with pointing a pistol or reckless conduct as the predicate misdemeanor) and whether the State could ask the testifying defendant if other witnesses were lying. It does not address justification, affirmative defenses, the lawful use of force in defense of self, others, or property, or citizen's arrest. The words ""justification,"" ""affirmative defense,"" and ""citizen's arrest"" do not appear anywhere in the opinion, so the case cannot stand for the proposition asserted.",claude-opus-4-8/assess-v2
