page,proposition,cited_case,retrieved_case,supporting_language,assessment,cl_url,cl_status,diagnostics,opinion_file,syllabus,quoted_text,brief_sentence,quote_check,quote_check_worst,badge_label,brief_block,opinion_block,finding_analysis
1,The Ultra Petroleum bankruptcy court established a three-part framework for determining whether make-whole amounts constitute unmatured interest.,"In re Ultra Petroleum Corp., 624 B.R. 178 (2020)",Ultra Petroleum Corp.,,Green,https://www.courtlistener.com/docket/17166210/878/ultra-petroleum-corp/,POSSIBLE_MATCH,"Found in RECAP (not in opinions database). Document dated 2020-12-30: Entry (Adversary); Low confidence: court not available in citation text; Name differs: cited ""In re Ultra Petroleum Corp."" ~ found ""Ultra Petroleum Corp."" (82% similar); Reporter citation 624 B.R. 178 could not be confirmed (CourtListener has no reporter citations on file for this case), but we identified a possible match.",opinions/In_re_Ultra_Petroleum_Corp.txt,,"[""consideration for the use or forbearance of another's money accruing over time""]","In In re Ultra Petroleum Corp., the bankruptcy court established a three-part framework for analyzing whether make-whole amounts constitute unmatured interest: (1) defining interest as ""consideration for the use or forbearance of another's money accruing over time,"" (2) defining unmatured interest as interest that has not accrued as of the petition date, and (3) identifying characteristics that make a debt the economic equivalent of unmatured interest.  In re Ultra Petroleum Corp., 624 B.R. 178 (2020)","[{""quote"": ""consideration for the use or forbearance of another's money accruing over time"", ""result"": ""CLOSE"", ""similarity"": 0.79, ""matched_passage"": ""1992). Although the Code does not define the term unmatured interest, interest is widely understood as consideration for the use or forbearance of another\u2019s money accruing over time. See Love v. State of New York, 78 N.Y.2d 540, 544 (N.Y.""}]",CLOSE,Supported,"In In re Ultra Petroleum Corp., the bankruptcy court established a three-part framework for analyzing whether make-whole amounts constitute unmatured interest: (1) defining interest as ""consideration for the use or forbearance of another's money accruing over time,"" (2) defining unmatured interest as interest that has not accrued as of the petition date, and (3) identifying characteristics that make a debt the economic equivalent of unmatured interest.  In re Ultra Petroleum Corp., 624 B.R. 178 (2020)","To decide whether the Make-Whole Amount is allowed, the Court must define the ""economic equivalent of unmatured interest."" Pengo, 962 F.2d at 546. The definition is formed in three steps. First, the Court defines interest. Second, the Court defines unmatured interest. Third, the Court identifies the characteristics which make a debt the 'economic equivalent' of unmatured interest.","The opinion expressly announces a three-step definitional framework that tracks the brief's description almost exactly. The court states that the definition of the economic equivalent of unmatured interest is formed in three steps: defining interest, defining unmatured interest, and identifying the characteristics which make a debt the economic equivalent of unmatured interest. The court then defines interest as consideration for the use or forbearance of another's money accruing over time, and defines unmatured interest as interest that has not accrued or been earned as of the petition date (the order for relief in a bankruptcy case). The brief's paraphrase of the first step uses a verbatim quote from the opinion, and the paraphrases of steps two and three are accurate characterizations of the court's analysis. The quote check flagged similarity at 0.79 because the opinion phrases the first step slightly differently across passages (""Interest means consideration..."" vs. ""interest is widely understood as consideration...""), but the quoted phrase itself appears verbatim."
1,"Make-whole amounts are liquidated damages compensating for prepayment losses, not for the use of money, and therefore are not unmatured interest disallowed under Section 502(b)(2).","In re Ultra Petroleum Corp., 624 B.R. 178 (2020)",Ultra Petroleum Corp.,,Green,https://www.courtlistener.com/docket/17166210/878/ultra-petroleum-corp/,POSSIBLE_MATCH,"Found in RECAP (not in opinions database). Document dated 2020-12-30: Entry (Adversary); Low confidence: court not available in citation text; Name differs: cited ""In re Ultra Petroleum Corp."" ~ found ""Ultra Petroleum Corp."" (82% similar); Reporter citation 624 B.R. 178 could not be confirmed (CourtListener has no reporter citations on file for this case), but we identified a possible match.",opinions/In_re_Ultra_Petroleum_Corp.txt,,[],"The court held that make-whole amounts are liquidated damages that compensate for prepayment losses rather than for the use of money, do not accrue over time, and therefore are not unmatured interest subject to disallowance under Section 502(b)(2).  In re Ultra Petroleum Corp., 624 B.R. 178 (2020)",[],NO_QUOTES,Supported,"The court held that make-whole amounts are liquidated damages that compensate for prepayment losses rather than for the use of money, do not accrue over time, and therefore are not unmatured interest subject to disallowance under Section 502(b)(2).  In re Ultra Petroleum Corp., 624 B.R. 178 (2020)","The Make-Whole Amount represents liquidated damages and should not be characterized as unmatured interest, or its economic equivalent. The Make-Whole Amount is not compensation for the use or forbearance of money, and it does not accrue over time. It is not interest. The Bankruptcy Code allows the Make-Whole Amount.","The opinion directly supports each element of the brief's paraphrase. The court holds that the Make-Whole Amount represents liquidated damages, that it is not compensation for the use or forbearance of money, that it does not accrue over time, and that it therefore is not interest or unmatured interest and is allowed under the Bankruptcy Code. The brief's characterization tracks the opinion's holding closely, including the two analytical reasons the court gives (not for use of money; does not accrue over time) and the conclusion regarding Section 502(b)(2). No direct quote is asserted, and nothing in the paraphrase overstates the holding."
1,"Economic substance, rather than party labels, controls whether an amount qualifies as unmatured interest.","In re Ultra Petroleum Corp., 624 B.R. 178 (2020)",Ultra Petroleum Corp.,,Green,https://www.courtlistener.com/docket/17166210/878/ultra-petroleum-corp/,POSSIBLE_MATCH,"Found in RECAP (not in opinions database). Document dated 2020-12-30: Entry (Adversary); Low confidence: court not available in citation text; Name differs: cited ""In re Ultra Petroleum Corp."" ~ found ""Ultra Petroleum Corp."" (82% similar); Reporter citation 624 B.R. 178 could not be confirmed (CourtListener has no reporter citations on file for this case), but we identified a possible match.",opinions/In_re_Ultra_Petroleum_Corp.txt,,"[""economic substance, rather than party labels, determines whether an amount is unmatured interest""]","The Ultra Petroleum court emphasized that ""economic substance, rather than party labels, determines whether an amount is unmatured interest.""  In re Ultra Petroleum Corp., 624 B.R. 178 (2020)","[{""quote"": ""economic substance, rather than party labels, determines whether an amount is unmatured interest"", ""result"": ""VERBATIM"", ""similarity"": 1.0, ""matched_passage"": ""The Make-Whole Amount is not an economic equivalent of unmatured interest. Economic substance, rather than party labels, determines whether an amount is unmatured interest. In re Chateaugay Corp., 109 B.R. 51, 57 (Bankr. S.D.N.Y.""}]",VERBATIM,Supported,"The Ultra Petroleum court emphasized that ""economic substance, rather than party labels, determines whether an amount is unmatured interest.""  In re Ultra Petroleum Corp., 624 B.R. 178 (2020)","Economic substance, rather than party labels, determines whether an amount is unmatured interest. In re Chateaugay Corp., 109 B.R. 51, 57 (Bankr. S.D.N.Y. 1990) (""[T]he essential factor guiding this Court in making its determination . . . is the underlying economic substance of the transaction.""). If a debt fits within the definition of unmatured interest, it is disallowed by Section 502(b)(2), regardless of its superficial label.","The quoted sentence appears verbatim in the opinion as a declarative statement introducing the court's discussion of the economic-equivalent test. The court immediately elaborates that a debt fitting the definition of unmatured interest is disallowed regardless of its superficial label, which reinforces the quoted proposition. The brief's attribution and use of the quote accurately reflect both the text and the role it plays in the court's reasoning."
1,"Make-whole amounts that compensate for reinvestment losses, rather than for the use or forbearance of money, are not unmatured interest.","In re Ultra Petroleum Corp., 624 B.R. 178 (2020)",Ultra Petroleum Corp.,,Green,https://www.courtlistener.com/docket/17166210/878/ultra-petroleum-corp/,POSSIBLE_MATCH,"Found in RECAP (not in opinions database). Document dated 2020-12-30: Entry (Adversary); Low confidence: court not available in citation text; Name differs: cited ""In re Ultra Petroleum Corp."" ~ found ""Ultra Petroleum Corp."" (82% similar); Reporter citation 624 B.R. 178 could not be confirmed (CourtListener has no reporter citations on file for this case), but we identified a possible match.",opinions/In_re_Ultra_Petroleum_Corp.txt,,"[""for the cost of reinvesting in a less favorable market"", ""for the use or forbearance of their money""]","Make-whole amounts that compensate creditors ""for the cost of reinvesting in a less favorable market"" rather than ""for the use or forbearance of their money"" are not considered unmatured interest.  In re Ultra Petroleum Corp., 624 B.R. 178 (2020)","[{""quote"": ""for the cost of reinvesting in a less favorable market"", ""result"": ""VERBATIM"", ""similarity"": 1.0, ""matched_passage"": ""The Make-Whole Amount compensates the Note Claimants for the cost of reinvesting in a less favorable market. If the market is substantially more favorable at the time of prepayment, the M""}, {""quote"": ""for the use or forbearance of their money"", ""result"": ""VERBATIM"", ""similarity"": 1.0, ""matched_passage"": ""Instead of compensating the Note Claimants for the use or forbearance of their money, the Make-Whole Amount compensates the Note Claimants for Ultra\u2019s decision not""}]",VERBATIM,Supported,"Make-whole amounts that compensate creditors ""for the cost of reinvesting in a less favorable market"" rather than ""for the use or forbearance of their money"" are not considered unmatured interest.  In re Ultra Petroleum Corp., 624 B.R. 178 (2020)","The Make-Whole Amount is not consideration for the use or forbearance of the Note Claimants' money, which had not accrued or been earned as of the petition date. Although the Make-Whole Amount is ""consideration,"" it is not consideration for the use or forbearance of the Note Claimants' money. The Make-Whole Amount compensates the Note Claimants for the cost of reinvesting in a less favorable market. . . . Instead of compensating the Note Claimants for the use or forbearance of their money, the Make-Whole Amount compensates the Note Claimants for Ultra's decision not to use their money.","Both quoted phrases appear verbatim in a single passage of the opinion, and the brief's framing accurately captures the contrast the court draws. The court explains that the Make-Whole Amount compensates the Note Claimants for the cost of reinvesting in a less favorable market rather than for the use or forbearance of their money, and uses that distinction to conclude that the Make-Whole Amount is not interest and therefore not unmatured interest. The brief's synthesis faithfully reproduces this analytical move without overstatement."
1,"Automatic acceleration triggered by a bankruptcy filing changes the maturity date from the original stated date to the petition date, precluding make-whole premium claims.","In re AMR Corp., 730 F.3d 88 (2013)",U.S. Bank Trust National Ass'n v. AMR Corp.,,Green,https://www.courtlistener.com/opinion/1040539/us-bank-trust-national-assn-v-amr-corp/,VERIFIED,,opinions/U_S_Bank_Trust_National_Ass_n_v_AMR_Corp.html,,[],"The Second Circuit established controlling precedent in U.S. Bank Trust National Ass'n v. American Airlines, Inc. (In re AMR Corp.), holding that automatic acceleration triggered by bankruptcy filings changes the maturity date from the original stated date to the petition date, precluding make-whole premium claims.  In re AMR Corp., 730 F.3d 88 (2013)",[],NO_QUOTES,Supported,"The Second Circuit established controlling precedent in U.S. Bank Trust National Ass'n v. American Airlines, Inc. (In re AMR Corp.), holding that automatic acceleration triggered by bankruptcy filings changes the maturity date from the original stated date to the petition date, precluding make-whole premium claims.  In re AMR Corp., 730 F.3d 88 (2013)","American's bankruptcy petition triggered a default, and this default automatically accelerated the debt. That acceleration 'change[d] the date of maturity from some point in the future . . . to an earlier date based on the debtor's default under the contract.' When the event of default occurred and the debt accelerated, the new maturity date for the debt was November 29, 2011. Consequently, American's attempt to repay the debt in October 2012 was not a voluntary prepayment because '[p]repayment can only occur prior to the maturity date.'","The brief's characterization of AMR's holding is accurate. The Second Circuit held that the indenture's automatic acceleration provision, triggered by American's voluntary bankruptcy filing, moved the maturity date forward to the petition date (November 29, 2011), so that the later payment was post-maturity rather than a prepayment. Because the indenture conditioned the Make-Whole Amount on voluntary prepayment before maturity, no premium was owed. The brief captures both the mechanism (automatic acceleration shifts maturity) and the consequence (no make-whole) that the court adopted."
1,"Adopting the reasoning of In re Solutia, the Second Circuit concluded that prepayment can occur only before maturity and that automatic acceleration upon bankruptcy establishes the petition date as the new maturity date.","In re AMR Corp., 730 F.3d 88 (2013)",U.S. Bank Trust National Ass'n v. AMR Corp.,,Green,https://www.courtlistener.com/opinion/1040539/us-bank-trust-national-assn-v-amr-corp/,VERIFIED,,opinions/U_S_Bank_Trust_National_Ass_n_v_AMR_Corp.html,,"[""[p]repayment can only occur prior to the maturity date"", ""the new maturity date for the debt was November 29, 2011""]","The court adopted the reasoning from In re Solutia that ""[p]repayment can only occur prior to the maturity date,"" and concluded that when debt accelerates upon bankruptcy filing, ""the new maturity date for the debt was November 29, 2011.""  In re AMR Corp., 730 F.3d 88 (2013)","[{""quote"": ""[p]repayment can only occur prior to the maturity date"", ""result"": ""VERBATIM"", ""similarity"": 1.0, ""matched_passage"": ""mpt to repay the debt in October 2012 was not a voluntary prepayment because \u201c[prepayment can only occur prior to the maturity date.\u201d In re Solutia, 379 B.R. at 488 .""}, {""quote"": ""the new maturity date for the debt was November 29, 2011"", ""result"": ""VERBATIM"", ""similarity"": 1.0, ""matched_passage"": ""When the event of default occurred and the debt accelerated, the new maturity date for the debt was November 29, 2011. Consequently, American\u2019s attempt to repay the debt in October 2012 was not a v""}]",VERBATIM,Supported,"The court adopted the reasoning from In re Solutia that ""[p]repayment can only occur prior to the maturity date,"" and concluded that when debt accelerates upon bankruptcy filing, ""the new maturity date for the debt was November 29, 2011.""  In re AMR Corp., 730 F.3d 88 (2013)","When the event of default occurred and the debt accelerated, the new maturity date for the debt was November 29, 2011. Consequently, American's attempt to repay the debt in October 2012 was not a voluntary prepayment because '[p]repayment can only occur prior to the maturity date.' In re Solutia, 379 B.R. at 488. . . . The case law dealing with similar automatic-acceleration-upon-bankruptcy clauses in indenture agreements supports this reading. In re Solutia Inc. involved notes held by the Bank of New York and governed by an indenture agreement. . . . Because the 2009 Notes were automatically accelerated, any payment at this time would not be a prepayment.","Both quoted strings appear verbatim in the opinion, and the brief's framing matches the court's analytical move. The Second Circuit quoted Solutia's 'Prepayment can only occur prior to the maturity date' proposition directly, then applied that reasoning to hold that the new maturity date for American's accelerated debt was November 29, 2011 (the petition date). The opinion explicitly treats Solutia as supporting authority whose reasoning the court adopts to reach its conclusion, so the brief's characterization is accurate."
1,The Second Circuit rejected the argument that issuing replacement notes under a Chapter 11 plan constitutes an optional redemption triggering make-whole premiums.,"Matter of MPM Silicones, L.L.C., 874 F.3d 787 (2017)","Momentive Performance Materials Inc. v. BOKF, NA",,Green,https://www.courtlistener.com/opinion/8443579/momentive-performance-materials-inc-v-bokf-na/,POSSIBLE_MATCH,"Name mismatch: citation exists at this reporter location but belongs to ""Momentive Performance Materials Inc. v. BOKF, NA""",opinions/Momentive_Performance_Materials_Inc_v_BOKF_NA.html,,"[""optional redemption""]","The Second Circuit reinforced this principle in Matter of MPM Silicones, L.L.C., rejecting noteholders' arguments that issuing replacement notes under a Chapter 11 plan constituted an ""optional redemption"" triggering make-whole premiums.  Matter of MPM Silicones, L.L.C., 874 F.3d 787 (2017)","[{""quote"": ""optional redemption"", ""result"": ""VERBATIM"", ""similarity"": 1.0, ""matched_passage"": ""C The 2012 Indentures governing the Senior-Lien Notes contain Optional Redemption Clauses, which provide for the payment of a make-whole premium 13 (referred to""}]",VERBATIM,Supported,"The Second Circuit reinforced this principle in Matter of MPM Silicones, L.L.C., rejecting noteholders' arguments that issuing replacement notes under a Chapter 11 plan constituted an ""optional redemption"" triggering make-whole premiums.  Matter of MPM Silicones, L.L.C., 874 F.3d 787 (2017)","The Senior-Lien Notes holders' principal argument is that they are entitled to the make-whole premium because when MPM issued the replacement notes under the Plan, it 'redeemed' the Notes 'at its option' prior to maturity. This argument fails for the same reasons we rejected nearly identical arguments in In re AMR Corp., 730 F.3d 88 (2d Cir. 2013). . . . Moreover, even assuming MPM's issuance of the replacement notes was a 'redemption,' it would not have been 'at [MPM's] option,' as required to trigger the Optional Redemption Clauses.","The brief accurately characterizes the Second Circuit's holding. The court expressly rejected the Senior-Lien Notes holders' argument that issuing replacement notes under the Chapter 11 plan was an optional redemption triggering the make-whole premium, both because post-acceleration payments are post-maturity (per AMR) and because the replacement notes were issued automatically by operation of the Acceleration Clauses rather than at MPM's option. Note on caption: CourtListener flagged a case-name mismatch because the appeal is docketed as Momentive Performance Materials Inc. v. BOKF, NA while the brief cites it as 'Matter of MPM Silicones, L.L.C.'; the opinion confirms these are the same case (MPM is the debtor-subsidiary whose Chapter 11 plan and 2012 Indentures are at issue throughout), so the mismatch is a false positive."
1,Payments made following automatic acceleration are not made at the debtor's option because the obligation arises automatically from the indenture's acceleration clauses.,"Matter of MPM Silicones, L.L.C., 874 F.3d 787 (2017)","Momentive Performance Materials Inc. v. BOKF, NA",,Green,https://www.courtlistener.com/opinion/8443579/momentive-performance-materials-inc-v-bokf-na/,POSSIBLE_MATCH,"Name mismatch: citation exists at this reporter location but belongs to ""Momentive Performance Materials Inc. v. BOKF, NA""",opinions/Momentive_Performance_Materials_Inc_v_BOKF_NA.html,,"[""at [MPM's] option"", ""the obligation to issue the replacement notes came about automatically by operation of separate indenture provisions, the Automatic Acceleration Clauses.""]","The court held that payments following automatic acceleration are not made ""at [MPM's] option"" because ""the obligation to issue the replacement notes came about automatically by operation of separate indenture provisions, the Automatic Acceleration Clauses.""  Matter of MPM Silicones, L.L.C., 874 F.3d 787 (2017)","[{""quote"": ""at [MPM's] option"", ""result"": ""CLOSE"", ""similarity"": 0.82, ""matched_passage"": ""The Senior-Lien Notes holders rejected the Plan, and, thus, elected the latter option. The appellants here\u2014the Subordinated Notes holders and the Senior-Lien Notes h""}, {""quote"": ""the obligation to issue the replacement notes came about automatically by operation of separate indenture provisions, the Automatic Acceleration Clauses."", ""result"": ""VERBATIM"", ""similarity"": 1.0, ""matched_passage"": ""Rather, the obligation to issue the replacement notes came about automatically by operation of separate indenture provisions, the Automatic Acceleration Clauses. A payment made mandatory by operation of an automatic acceleration clause is no""}]",CLOSE,Supported,"The court held that payments following automatic acceleration are not made ""at [MPM's] option"" because ""the obligation to issue the replacement notes came about automatically by operation of separate indenture provisions, the Automatic Acceleration Clauses.""  Matter of MPM Silicones, L.L.C., 874 F.3d 787 (2017)","Moreover, even assuming MPM's issuance of the replacement notes was a 'redemption,' it would not have been 'at [MPM's] option,' as required to trigger the Optional Redemption Clauses. Rather, the obligation to issue the replacement notes came about automatically by operation of separate indenture provisions, the Automatic Acceleration Clauses. A payment made mandatory by operation of an automatic acceleration clause is not one made at MPM's option.","Both quoted phrases appear verbatim in the opinion and the brief's framing tracks the court's reasoning precisely. The Second Circuit held that issuance of replacement notes under the Plan could not be 'at [MPM's] option' because it was compelled by the Automatic Acceleration Clauses rather than chosen by the debtor, so the Optional Redemption Clauses (the trigger for the make-whole) were not activated. The quote-check flagged one quote as 0.82 similarity, but that reflects the bracketed editorial insertion '[MPM's]' rather than any substantive deviation; the phrases match the opinion's text. Caption note: 'Matter of MPM Silicones, L.L.C.' and 'Momentive Performance Materials Inc. v. BOKF, NA' refer to the same Second Circuit appeal, so the CourtListener name-mismatch flag is a false positive."
1,Make-whole provisions function to protect lenders' expected yield from the time the loan was made.,"In re Chemtura Corp., 439 B.R. 561 (2010)",In Re Chemtura Corp.,,Green,https://www.courtlistener.com/opinion/2188811/in-re-chemtura-corp/,VERIFIED,,opinions/In_Re_Chemtura_Corp.html,,"[""protect lenders' right to the yield that was expected at the time that they made their loans.""]","In In re Chemtura Corp., the court conducted a detailed analysis distinguishing between state law contractual rights and bankruptcy law limitations, noting that make-whole provisions ""protect lenders' right to the yield that was expected at the time that they made their loans.""  In re Chemtura Corp., 439 B.R. 561 (2010)","[{""quote"": ""protect lenders' right to the yield that was expected at the time that they made their loans."", ""result"": ""CLOSE"", ""similarity"": 0.78, ""matched_passage"": ""Make-whole and no-call provisions in bond indentures protect lenders\u2019 right to the yield that was expected at the time that they made their loans, though such provisions sometimes raise concerns, particularly (or, it could be ar""}]",CLOSE,Supported,"In In re Chemtura Corp., the court conducted a detailed analysis distinguishing between state law contractual rights and bankruptcy law limitations, noting that make-whole provisions ""protect lenders' right to the yield that was expected at the time that they made their loans.""  In re Chemtura Corp., 439 B.R. 561 (2010)","Make-whole and no-call provisions in bond indentures protect lenders' right to the yield that was expected at the time that they made their loans, though such provisions sometimes raise concerns, particularly (or, it could be argued, only) when they come at the expense of other creditors.","The quoted language appears verbatim in the opinion's discussion of the Make-Whole and No-Call Provisions. The court describes the function of such provisions exactly as the brief characterizes it, and also frames the broader state-law/bankruptcy-law analytical structure that the brief attributes to the case. The sub-0.78 similarity score in the automated quote check appears to reflect smart-quote/apostrophe normalization artifacts rather than any substantive wording difference; the text in the opinion matches the brief's quotation word for word."
1,Enforceability of make-whole premiums in bankruptcy requires two layers of analysis: state-law contractual interpretation and bankruptcy law considerations including Section 502(b)(2).,"In re Chemtura Corp., 439 B.R. 561 (2010)",In Re Chemtura Corp.,,Green,https://www.courtlistener.com/opinion/2188811/in-re-chemtura-corp/,VERIFIED,,opinions/In_Re_Chemtura_Corp.html,,"[""at least two layers of analysis""]","However, the court emphasized that enforceability requires ""at least two layers of analysis""—first, state law interpretation of whether payment or damages become due, and second, bankruptcy law considerations including Section 502(b)(2).  In re Chemtura Corp., 439 B.R. 561 (2010)","[{""quote"": ""at least two layers of analysis"", ""result"": ""VERBATIM"", ""similarity"": 1.0, ""matched_passage"": ""o-Call Provisions of the two series of notes would support claims would require at least two layers of analysis. The first layer would involve matters of state law\u2014 whether a payment or damag""}]",VERBATIM,Supported,"However, the court emphasized that enforceability requires ""at least two layers of analysis""—first, state law interpretation of whether payment or damages become due, and second, bankruptcy law considerations including Section 502(b)(2).  In re Chemtura Corp., 439 B.R. 561 (2010)","Determining whether the Make-Whole and No-Call Provisions of the two series of notes would support claims would require at least two layers of analysis. The first layer would involve matters of state law—whether a payment or damages would become due, and, if so, to what extent. . . . The second layer would involve the special considerations that apply in bankruptcy cases.","The quoted phrase ""at least two layers of analysis"" appears verbatim, and the brief's characterization of the two layers tracks the opinion precisely: the first layer is state-law contractual interpretation of whether payment or damages become due, and the second layer addresses bankruptcy-specific considerations. The opinion's second-layer discussion expressly engages with Section 502(b)(2)'s treatment of unmatured interest, so the brief's reference to that provision as part of the bankruptcy-law layer is an accurate gloss on the court's analysis rather than an overreach."
