"id","source","proposition","gold_name","gold_cite","model_response","extracted_case_name","extracted_citation","extracted_year","real","real_status","name_match","matched_cl_name","matched_cluster_id","right_case","supports","support_rationale","support_cost_usd","model_cost_usd"
"lepard-1490680_42","lepard","The warrant authorized entrance to “J. R. Simplot Company” on “Highway 19”, and authorized inspection with respect to all “pertinent” facilities to determine whether Simplot was “complying with the... Act.","Marshall v. Barlow’s, Inc.","Marshall v. Barlow’s, Inc., 436 U.S. 307 (1978)","UNKNOWN","","","","N","","N","","","N","","model returned UNKNOWN","0.0","0.05158905"
"lepard-11598083_14","lepard","Kraemer for services actually performed by nurse Laurel, yet they still attempt to argue that their unspecific allegations re garding the Wound Healing Clinic should stand. The Court will address plaintiffs’ inability to make specific allegations in Section D. below. Plaintiff Schuhardt’s Retaliation Claim The FCA prohibits employment discrimination “","Eberhardt v. Integrated Design & Construction, Inc.","Eberhardt v. Integrated Design & Construction, Inc., 167 F.3d 861 (1999)","UNKNOWN","","","","N","","N","","","N","","model returned UNKNOWN","0.0","0.052732799999999996"
"lepard-11644379_27","lepard","1064, 110 S.Ct. 884, 107 L.Ed.2d 1012 (1990). If, however, substantial evidence is presented opposed to the motion, and this evidence is of such quality and weight that reasonable and fair-minded persons in the exercise of impartial judgment might reach different conclusions, the motion must be denied. Nevertheless, a jury question does not exist because of the presence of a “mere scintilla of evidence”; rather, “","Carter v. City of Miami","Carter v. City of Miami, 870 F.2d 578 (1989)","Boeing Co. v. Shipman, 411 F.2d 365 (5th Cir. 1969)","Boeing Co. v. Shipman","411 F.2d 365","1969","Y","VERIFIED","Y","The Boeing Company v. Daniel C. Shipman","284955","N","Green","The Boeing v. Shipman opinion directly establishes the 'substantial evidence' standard quoted in the proposition, including the language about reasonable and fair-minded persons reaching different conclusions and the rejection of the mere scintilla standard.","0.058733549999999995","0.06360779999999999"
"lepard-11735156_8","lepard","However, the absence of federal preemption does not in itself validate state statutes regulating the field. In the case of Hines v. Davidowitz, the Supreme Court was faced with issues similar to those raised by the case at bar. In attempting to determine whether the federal statute had preempted the state statute, the Court stated: “There is not — and from the very nature of the problem there cannot be— any rigid formula or rule which can be used as a universal pattern to determine the meaning and purpose of every act of Congress.","Perez. v. Campbell","Perez. v. Campbell, 402 U.S. 637 (1971)","Hines v. Davidowitz, 312 U.S. 52 (U.S. 1941)","Hines v. Davidowitz","312 U.S. 52","1941","Y","VERIFIED","Y","Hines v. Davidowitz","103438","N","Green","The exact quoted passage ('There is not â€” and from the very nature of the problem there cannot be â€” any rigid formula or rule which can be used as a universal pattern to determine the meaning and purpose of every act of Congress') appears verbatim in the opinion excerpt.","0.0540123","0.04085655"
"lepard-857722_31","lepard","The subjective component “requires a showing that the defendant ‘had the necessary level of culpability, shown by actions characterized by “wantonness” in light of the particular circumstances surrounding the challenged conduct.’ ” In excessive force cases, “wanton” conduct involves force that is applied “","Blyden v. Mancusi","Blyden v. Mancusi, 186 F.3d 252 (1999)","Wilson v. Seiter, 501 U.S. 294 (1991)","Wilson v. Seiter","501 U.S. 294","1991","Y","VERIFIED","Y","Wilson v. Seiter","112626","N","Yellow","Wilson v. Seiter establishes that 'wantonness' is context-dependent and discusses its meaning in prison conditions/medical care cases, but it is not an excessive force case; the proposition's specific application to excessive force overstates what this case held, as the relevant excessive force standard (maliciously and sadistically) derives from Whitley v. Albers, which Wilson v. Seiter merely cites.","0.06948105","0.0499428"
"lepard-1490680_60","lepard","437 (D.C., D.ID 1977). The Supreme Court, in affirming the lower court decision, held that the Fourth Amendment prohibits nonconsensual inspections in the work areas of business for the purpose of safeguarding employees against hazards; however, probable cause, in the criminal law sense, is not required as a basis for the issuance of a warrant. The probable cause which justifies the issuance of a warrant for the purpose of conducting an administrative search may be based not only on evidence of an existing violation of a statute or regulation, but may also be found on a showing that “reasonable legislative or administrative standards for conducting an... inspection are satisfied with respect to a particular [establishment].”","Marshall v. Barlow’s, Inc.","Marshall v. Barlow’s, Inc., 436 U.S. 307 (1978)","Marshall v. Barlow's, Inc., 436 U.S. 307 (U.S. 1978)","Marshall v. Barlow's, Inc.","436 U.S. 307","1978","Y","VERIFIED","Y","Marshall v. Barlow's, Inc.","109866","Y","Green","The opinion text explicitly affirms the lower court (424 F. Supp. 437), holds that the Fourth Amendment requires a warrant for nonconsensual OSHA inspections, states that '[p]robable cause in the criminal law sense is not required,' and quotes verbatim the Camara language about 'reasonable legislative or administrative standards' satisfying probable cause for administrative search warrants.","0.0659223","0.03761655"
"lepard-11652681_0","lepard","” Summary judgment will not lie if the evidence is such that a reasonable jury could return a verdict for the nonmoving party. In order for the moving party to prevail, it must demonstrate to the court that “","Florida Power & Light Co. v. Allis Chalmers Corp.","Florida Power & Light Co. v. Allis Chalmers Corp., 893 F.2d 1313 (1990)","Anderson v. Liberty Lobby, Inc., 477 U.S. 242 (U.S. 1986)","Anderson v. Liberty Lobby, Inc.","477 U.S. 242","1986","Y","VERIFIED","Y","Anderson v. Liberty Lobby, Inc.","111719","N","Green","The excerpt contains the exact language of the proposition: 'summary judgment will not lie if the dispute about a material fact is genuine, that is, if the evidence is such that a reasonable jury could return a verdict for the nonmoving party,' and the case directly establishes this standard for Rule 56 motions.","0.05855729999999999","0.039469050000000006"
"lepard-219616_28","lepard","at 17. Cf. Walczak, 142 F.3d at 129 (“Deference is particularly appropriate when... the state hearing officer’s] review has been thorough and careful.","Walczak v. Florida Union Free School District","Walczak v. Florida Union Free School District, 142 F.3d 119 (1998)","Walczak v. Florida Union Free School District, 142 F.3d 119 (2d Cir. 1998)","Walczak v. Florida Union Free School District","142 F.3d 119","1998","Y","VERIFIED","N","Robert Walczak and Karen Walczak v. Florida Union Free School District and Maureen Flaherty","753719","Y","Yellow","The case and citation are on-point for IDEA deference doctrine, and the excerpt is consistent with the proposition (noting the administrative record was 'exhaustive' and officers 'carefully analyzed all relevant materials'), but the specific quoted language about deference being 'particularly appropriate' when review is 'thorough and careful' does not appear in the provided excerpt, which is truncated before reaching the cited page 129.","0.07124355","0.04213155"
"lepard-11714932_2","lepard","However, given “the need to allow some latitude for honest mistakes that are made by officers in the dangerous and difficult process of making arrests and executing-search warrants,” Garrison, 480 U.S. at 87, 107 S.Ct. 1013, we believe that these specific undisputed facts establish as a matter of law that Tou’s “","Hill v. California","Hill v. California, 401 U.S. 797 (1971)","Maryland v. Garrison, 480 U.S. 79 (U.S. 1987)","Maryland v. Garrison","480 U.S. 79","1987","Y","VERIFIED","Y","Maryland v. Garrison","111823","N","Green","The excerpt contains the exact quoted language about 'latitude for honest mistakes...in the dangerous and difficult process of making arrests and executing search warrants' at page 87, directly supporting the proposition's citation.","0.05531355","0.0408678"
"lepard-1729737_29","lepard","And the Fourth Circuit, like nearly every other federal circuit, has avoided other potential Suspension Clause challenges to the limitations period by extending the filing deadline for Bilodeau— and other prisoners convicted before AED-PA’s enactment — to April 23, 1997, a full year after AEDPA had already taken effect. See Brown, 150 F.3d at 375. Therefore, since AEDPA still allows a reasonable amount of time for state prisoners to test the legality of their detention, and since Congress and the courts have both fashioned exceptions for those who have legitimate, legally recognized reasons for having missed the one year filing deadline, this Court finds that the time restriction placed on state prisoners does not rise to the level of a Suspension Clause violation. The Supreme Court has also recognized that Congress, not the courts, normally makes “","Felker v. Turpin","Felker v. Turpin, 518 U.S. 651 (1996)","Brown v. Angelone, 150 F.3d 370 (4th Cir. 1998)","Brown v. Angelone","150 F.3d 370","1998","Y","VERIFIED","Y","Michael Dwayne Brown v. Ronald Angelone, Jesse James Pritchard, Jr. v. Ronald Angelone, Director","756458","N","Green","Brown v. Angelone directly held that pre-AEDPA prisoners had until April 23, 1997 to file habeas petitions, and the Fourth Circuit aligned with sister circuits on this one-year grace period, precisely as the proposition states.","0.061474799999999996","0.03770655"
