page,proposition,cited_case,retrieved_case,supporting_language,assessment,cl_url,cl_status,diagnostics,opinion_file,quote_check,quote_check_worst
5,The district court's fee award violates Fifth Circuit mandate requiring segregation of fees,"Vaughan v. Lewisville Indep. Sch. Dist., 62 F.4th 199, 207 (5th Cir. 2023)",Vaughan v. Lewisville Indep Sch Dist,"Vaughan requires on remand identifying fees 'incurred because' of sanctionable conduct, with findings that 'identify sanctionable conduct and distinguish it from the reasons for deciding the case on the merits' and 'link the sanctionable conduct to the size of the sanctions' (citing Procter & Gamble). But does not use 'segregation of fees' and context is narrow (deposition misconduct under 1927), not a broad mandate.",Yellow,https://www.courtlistener.com/opinion/9382860/vaughan-v-lewisville-indep-sch-dist/,VERIFIED,,opinions/Vaughan_v_Lewisville_Indep_Sch_Dist.html,[],NO_QUOTES
6,Sanctions order violates Rule 11(c)(2) and rests on post hoc justification barred by controlling precedent,"Cooter & Gell v. Hartmarx Corp., 496 U.S. 384 (1990)",Cooter & Gell v. Hartmarx Corp.,"Cooter & Gell addresses Rule 11 broadly but does not discuss Rule 11(c)(2) (created by 1993 amendments, 3 years after this 1990 decision) or 'post hoc justification.' Temporal-anchoring at *404 provides indirect support.",Yellow,https://www.courtlistener.com/opinion/112457/cooter-gell-v-hartmarx-corp/,VERIFIED,,opinions/Cooter_Gell_v_Hartmarx_Corp.html,[],NO_QUOTES
6,Sanctions order awards fees without causation segregation required by Fifth Circuit precedent,"Vaughan v. Lewisville Indep. Sch. Dist., 62 F.4th 199 (5th Cir. 2023)",Vaughan v. Lewisville Indep Sch Dist,"Vaughan requires 1927 sanctions tied to specific conduct: court 'may award only those fees and costs associated with the persistent prosecution of a meritless claim' and must identify fees 'incurred because' of misconduct. But context is deposition misconduct, not general 'causation segregation.' Proposition overstates.",Yellow,https://www.courtlistener.com/opinion/9382860/vaughan-v-lewisville-indep-sch-dist/,VERIFIED,,opinions/Vaughan_v_Lewisville_Indep_Sch_Dist.html,[],NO_QUOTES
7,Sanctions must not deter legitimate advocacy,"Coghlan v. Starkey, 852 F.2d 806, 809 (5th Cir. 1988)",Coghlan v. Starkey,"Coghlan notes 'this court has no desire to deter any litigant from advancing any claim or defense arguably supported by existing law.' But context is Rule 38, and opinion's thrust is pro-sanctions.",Yellow,https://www.courtlistener.com/opinion/8971182/coghlan-v-starkey/,VERIFIED,,opinions/Coghlan_v_Starkey.html,[],NO_QUOTES
8,Sanctions imposed sua sponte without notice or hearing implicate due process and are reviewed de novo,"Edwards v. Gen. Motors Corp., 153 F.3d 242, 246 (5th Cir. 1998)",Edwards v. General Motors Corp.,"Sanctions in Edwards were not sua sponte -- GM moved for fees and court held hearing. Court reviews 1927 sanctions for 'abuse of discretion,' not de novo. No discussion of de novo review for procedural deficiencies.",Red,https://www.courtlistener.com/opinion/15646/edwards-v-general-motors-corp/,VERIFIED,,opinions/Edwards_v_General_Motors_Corp.html,[],NO_QUOTES
9,Morrison involved repeated filings after dispositive rulings and a clear record of delay (distinguishing from this case),"Morrison v. Walker, 939 F.3d 633, 636-37 (5th Cir. 2019)",Stella Morrison v. Layne Walker,Opinion confirms repeated filings: 'he repeatedly made filings based only on the meritless falsified-perjury claim.' Brief uses Morrison as distinguishing case -- legitimate use.,Green,https://www.courtlistener.com/opinion/4666039/stella-morrison-v-layne-walker/,VERIFIED,,opinions/Stella_Morrison_v_Layne_Walker.html,[],NO_QUOTES
9,Section 1927 does not reach the filing of a single non-frivolous pleading supported by evidence,"Peterson v. BMI Refractories, 124 F.3d 1386, 1396 (11th Cir. 1997)",Peterson v. BMI Refractories,Peterson reverses 1927 sanctions for lack of causal nexus. But does not hold 1927 'does not reach filing of single non-frivolous pleading.' Sanctioned conduct was pattern of communication failures.,Yellow,https://www.courtlistener.com/opinion/72255/peterson-v-bmi-refractories/,VERIFIED,,opinions/Peterson_v_BMI_Refractories.html,[],NO_QUOTES
9,Sanctions are an extraordinary remedy reserved for conduct that is both objectively unreasonable and undertaken in bad faith,"Morrison v. Walker, 939 F.3d 633, 637 (5th Cir. 2019)",Stella Morrison v. Layne Walker,"Standard is 'reckless disregard of duty,' NOT 'bad faith.' Brief's 'bad faith' characterization overstates Morrison's holding -- reckless disregard is lower threshold.",Yellow,https://www.courtlistener.com/opinion/4666039/stella-morrison-v-layne-walker/,VERIFIED,,opinions/Stella_Morrison_v_Layne_Walker.html,[],NO_QUOTES
10,Morrison involved repeated filings after dispositive rulings (distinguishing Bridgecrest's analogy),"Morrison v. Walker, 939 F.3d 633, 637 (5th Cir. 2019)",Stella Morrison v. Layne Walker,Same factual support as Row 7. Opinion describes repeated filings after partial dismissal. Using Morrison as distinguishing case is accurate.,Green,https://www.courtlistener.com/opinion/4666039/stella-morrison-v-layne-walker/,VERIFIED,,opinions/Stella_Morrison_v_Layne_Walker.html,[],NO_QUOTES
11,Section 1927 must not be used to punish counsel for pursuing claims that ultimately fail,"Morrison v. Walker, 939 F.3d 633, 637 (5th Cir. 2019)",Stella Morrison v. Layne Walker,Opinion does NOT state 1927 must not punish counsel for pursuing claims that ultimately fail. Opinion affirms sanctions against counsel precisely for pursuing a meritless claim.,Red,https://www.courtlistener.com/opinion/4666039/stella-morrison-v-layne-walker/,VERIFIED,,opinions/Stella_Morrison_v_Layne_Walker.html,[],NO_QUOTES
11,Informal communications and draft motions do not satisfy Rule 11(c)(2)'s mandatory service requirement,"Deepwater Horizon v. Lake Eugenie Land & Dev., Inc., 857 F.3d 246, 250 (5th Cir. 2017)","Freeh v. Lake Eugenie Land & Development, Inc.","This opinion (Freeh v. Lake Eugenie, 857 F.3d 246) is a Deepwater Horizon clawback fraud case. Contains NO discussion of Rule 11(c)(2), sanctions, or service requirements.",Red,https://www.courtlistener.com/opinion/8443291/freeh-v-lake-eugenie-land-development-inc/,VERIFIED,,opinions/Freeh_v_Lake_Eugenie_Land_Development_Inc.html,[],NO_QUOTES
