page,proposition,cited_case,retrieved_case,supporting_language,assessment,cl_url,cl_status,diagnostics,opinion_file,quoted_text,quote_check,quote_check_worst
12,"To prevail on a claim of ineffective assistance of counsel, a defendant must satisfy the two-prong test: (1) counsel's performance was deficient, falling below an objective standard of reasonableness, and (2) the deficient performance prejudiced the defense to the extent that there is a reasonable probability the outcome would have been different but for counsel's errors","Strickland v. Washington, 466 U.S. 668 (1984)",Strickland v. Washington,"Accurately states the two-prong Strickland test: (1) deficient performance below objective standard of reasonableness, and (2) prejudice requiring reasonable probability of a different outcome.",Green,https://www.courtlistener.com/opinion/111170/strickland-v-washington/,VERIFIED,,opinions/Strickland_v_Washington.html,[],[],NO_QUOTES
12,The two-prong Strickland test was adopted by Georgia courts,"Reynolds v. State, 306 Ga. 630 (2019)",Bailey v. State,"Wrong case: 306 Ga. 630 is Bailey v. State, about denial of out-of-time appeal. Does not discuss or adopt the Strickland test.",Red,https://www.courtlistener.com/opinion/7479754/bailey-v-state/,POSSIBLE_MATCH,"Name mismatch: cited ""Reynolds v. State"" vs found ""Bailey v. State""; Citation mismatch: cited 306 Ga. 630 but CourtListener has 828 S.E.2d 300, but we identified a possible match.",opinions/Bailey_v_State.html,[],[],NO_QUOTES
13,Georgia courts have made it clear that a valid citizen's arrest must occur immediately and without delay,"Harbuck v. State, 288 Ga. 768 (2011)",State v. Rozier,"Wrong case: 288 Ga. 768 is State v. Rozier, a quiet title property action. Has nothing to do with criminal law or citizen arrest.",Red,https://www.courtlistener.com/opinion/2112294/state-v-rozier/,POSSIBLE_MATCH,"Name mismatch: citation exists at this reporter location but belongs to ""State v. Rozier""",opinions/State_v_Rozier.html,[],[],NO_QUOTES
13,The failure to request a jury instruction not supported by the evidence does not constitute deficient performance,"Reed v. State, 291 Ga. 10 (2012)",Reed v. State,"Reed v. State discusses IAC but specific claims concern demurrers and closing arguments, not failure to request unsupported jury instructions.",Yellow,https://www.courtlistener.com/opinion/2506728/reed-v-state/,VERIFIED,,opinions/Reed_v_State.html,[],[],NO_QUOTES
13,The failure to request a jury instruction not supported by the evidence does not constitute deficient performance,"Davis v. State, 285 Ga. 343 (2009)",Davis v. State,Davis v. State discusses trial court refusal to give accident instruction. No IAC analysis; does not address counsel performance regarding instructions.,Red,https://www.courtlistener.com/opinion/1322724/davis-v-state/,VERIFIED,,opinions/Davis_v_State.html,[],[],NO_QUOTES
13,Tactical and strategic decisions do not constitute ineffective assistance unless no competent attorney would have made the same choice,"Head v. Ferrell, 274 Ga. 399 (2001)",Head v. Ferrell,Head v. Ferrell extensively discusses IAC; tactical and strategic decisions by counsel do not constitute ineffective assistance.,Green,https://www.courtlistener.com/opinion/1323520/head-v-ferrell/,VERIFIED,,opinions/Head_v_Ferrell.html,[],[],NO_QUOTES
13,Tactical and strategic decisions do not constitute ineffective assistance unless no competent attorney would have made the same choice,"Rumph v. State, 307 Ga. 477 (2019)",State v. Rumph,"State v. Rumph is a Miranda/custody suppression case. Never discusses IAC, tactical decisions, or the no competent attorney standard.",Red,https://www.courtlistener.com/opinion/10366942/state-v-rumph/,VERIFIED,,opinions/State_v_Rumph.html,[],[],NO_QUOTES
13,"Even assuming arguendo that counsel's performance was somehow deficient, Defendant has failed to show prejudice under Strickland; courts in Georgia have routinely declined to find prejudice where the omitted instruction was factually or legally unsupported","Strickland v. Washington, 466 U.S. 668 (1984)",Strickland v. Washington,Strickland holds that failure to prove either prong is fatal; the court may address prejudice first if dispositive.,Green,https://www.courtlistener.com/opinion/111170/strickland-v-washington/,VERIFIED,,opinions/Strickland_v_Washington.html,[],[],NO_QUOTES
13,Courts in Georgia have routinely declined to find prejudice where the omitted instruction was factually or legally unsupported,"Jones v. State, 283 Ga. 155 (2008)",Moore v. State,"Wrong case name (Moore v. State, not Jones v. State) but partially related -- Moore addresses refusal to charge on lesser included offenses where evidence did not support it.",Yellow,https://www.courtlistener.com/opinion/1208630/moore-v-state/,POSSIBLE_MATCH,"Name mismatch: citation exists at this reporter location but belongs to ""Moore v. State""",opinions/Moore_v_State.html,[],[],NO_QUOTES
13,Courts in Georgia have routinely declined to find prejudice where the omitted instruction was factually or legally unsupported,"Hughes v. State, 269 Ga. App. 242 (2004)",Bravo v. State,"Wrong case name (Bravo v. State, not Hughes v. State). Bravo discusses IAC and Strickland prejudice analysis, tangentially related.",Yellow,https://www.courtlistener.com/opinion/1324101/bravo-v-state/,POSSIBLE_MATCH,"Name mismatch: citation exists at this reporter location but belongs to ""Bravo v. State""",opinions/Bravo_v_State.html,[],[],NO_QUOTES
